id,organization_id,tenant_id,payment_date,amount_paid,reference_number,duplicate_count,receipt_ids,detected_at
673d1f3d-38f5-4015-a14e-bf448975f28d,00000000-0000-0000-0000-000000000001,cf03689a-ac92-b1e5-ac2d-1ff7e9a25139,2023-09-02,5000.00,324527964394,2,"[""45085bb1-42b8-4b28-a2cc-02b02f578f42"",""6e78b9fd-1809-4575-9ff4-c0fc82a662b1""]",2026-04-22 05:50:28.900039+00
27044a3d-93b9-4024-acc4-b7db51fb06dc,00000000-0000-0000-0000-000000000001,444b3778-4bd6-62cd-0b3d-660eb12fd7c5,2024-04-01,20000.00,00010-00011-,2,"[""bbeb974a-1d9e-4556-a594-e624d0fa231e"",""3ed6806b-240e-41f1-aa75-ec4c1a10d05d""]",2026-04-22 05:50:28.900039+00
26720af2-283b-421c-8086-b1a6387e81b5,00000000-0000-0000-0000-000000000001,f314b248-499b-0fe1-eb90-6a2940d95f0d,2024-06-10,700.00,416219250469,2,"[""303f0381-b31d-47d4-ace0-f0deb3800030"",""f7c68a50-b670-4a0d-9dde-f73ec7a844bf""]",2026-04-22 05:50:28.900039+00
49134c48-42c8-43d3-99c6-a2267b081f77,00000000-0000-0000-0000-000000000001,f7290eb5-6a3b-08ae-b5f7-726d85027796,2025-02-14,13000.00,504542784496,2,"[""fdf772c2-315b-43b8-ba24-a19ccf7a0976"",""73b5ab2b-0a38-4abf-9cef-6729a432c024""]",2026-04-22 05:50:28.900039+00
0ecabafa-ea92-44cd-996e-d5fb0a7c9525,00000000-0000-0000-0000-000000000001,1b003ea3-bdcb-0416-c3c2-8ff60f2f65f5,2025-07-22,1000.00,520355196810,2,"[""b126a1c4-9977-4a4b-811b-94062a38dc57"",""6e53ca55-605b-49e6-8fe2-5be8059b6e2a""]",2026-04-22 05:50:28.900039+00
1e9e860c-cd76-4785-baf9-0e164d8229f3,00000000-0000-0000-0000-000000000001,17dd0f21-a84d-a57c-7de4-9d5897c7181b,2025-08-06,1000.00,512975975666,3,"[""be374f8b-b1f2-4b0b-9abf-f55598251189"",""c40c9b57-42fa-491b-907d-3dc28768a259"",""89dd4dc8-8564-4b16-8515-84d9958e6227""]",2026-04-22 05:50:28.900039+00
2f2e33c1-3805-46dd-910e-a0e6d271d17d,00000000-0000-0000-0000-000000000001,417cb75b-9992-4df9-28ae-ad4d2313621f,2025-11-06,1000.00,icin131007454199,6,"[""5ad045a3-3a2f-44ff-a212-570b5b25f49c"",""dc744d5b-f5af-4679-8fab-4d62bdd21753"",""43341ee0-55ce-4990-afc2-a168b6cc3ef2"",""12a6f59c-278e-4531-ae5d-b899b857ec9e"",""12f4b09b-282e-41e8-a900-7e7575c25049"",""2cfbf75b-aaf2-452f-8af1-f66e7de381e8""]",2026-04-22 05:50:28.900039+00
b2156beb-ca77-4db4-95fc-2e32d78f0b41,00000000-0000-0000-0000-000000000001,df5ea39c-c069-5211-271d-f0d3831adefa,2026-01-10,14500.00,628199267097,2,"[""a2a922a3-5f24-413e-bfa4-b6757b7d8c33"",""ea2af8fb-adb6-40ef-a79c-af881f372e81""]",2026-04-22 05:50:28.900039+00
a4466e1a-68a2-4717-b816-b48dc6444814,00000000-0000-0000-0000-000000000001,8aacbc78-5e56-b3c0-f8bc-fcb5490b94f3,2026-04-04,16306.00,"""imps/p2a/609142722616/nirmalaa/hdfcbank/c34nirma/
9198942109319240000""

",2,"[""f0dc0e5c-376e-438d-9eed-1c82c4a410e6"",""2e81b8c3-927d-4212-9e53-776b519010db""]",2026-04-22 05:50:28.900039+00
