schema_name,table_name,relkind,is_partition,parent_table,live_columns,dropped_columns,max_ordinal,total_bytes,total_size
public,enquiries,table,false,null,15,0,15,98304,96 kB
public,exit_tasks,table,false,null,17,0,17,65536,64 kB
public,expense_bed_allocations,table,false,null,6,0,6,270336,264 kB
public,expense_categories,table,false,null,8,0,8,81920,80 kB
public,expense_subcategories,table,false,null,9,0,9,81920,80 kB
public,expenses,table,false,null,21,3,24,761856,744 kB
public,export_entity_registry,table,false,null,5,0,5,32768,32 kB
public,financial_audit_log,table,false,null,12,0,12,8650752,8448 kB
public,gst_monthly_workings,table,false,null,10,0,10,245760,240 kB
public,invoice_line_items,table,false,null,8,0,8,5177344,5056 kB
public,invoice_pdf_configs,table,false,null,26,0,26,49152,48 kB
public,invoices,table,false,null,26,2,28,5726208,5592 kB
public,issue_sub_types,table,false,null,8,0,8,65536,64 kB
public,issue_type_asset_types,table,false,null,5,0,5,73728,72 kB
public,issue_type_expense_mapping,table,false,null,7,0,7,57344,56 kB
public,issue_types,table,false,null,7,0,7,32768,32 kB
public,journal_entries,table,false,null,11,0,11,10321920,10080 kB
public,journal_lines,table,false,null,14,0,14,18325504,17 MB
public,leave_requests_sync,table,false,null,10,0,10,24576,24 kB
public,ledger_entries,table,false,null,9,0,9,122880,120 kB
public,lifecycle_config,table,false,null,15,0,15,24576,24 kB
public,maintenance_item_stock_entries,table,false,null,12,0,12,49152,48 kB
public,maintenance_item_usage,table,false,null,12,0,12,81920,80 kB
public,maintenance_items,table,false,null,16,1,17,212992,208 kB
public,maintenance_tickets,table,false,null,30,17,47,2252800,2200 kB
public,migration_log,table,false,null,8,0,8,16384,16 kB
public,offline_kyc_pending,table,false,null,19,0,19,245760,240 kB
public,org_ai_settings,table,false,null,5,0,5,16384,16 kB
public,org_branding_settings,table,false,null,8,0,8,32768,32 kB
public,org_email_settings,table,false,null,18,0,18,32768,32 kB
public,org_whatsapp_settings,table,false,null,9,0,9,65536,64 kB
public,organization_bank_accounts,table,false,null,15,0,15,57344,56 kB
public,organization_subscriptions,table,false,null,14,0,14,49152,48 kB
public,organizations,table,false,null,22,0,22,32768,32 kB
public,otp_codes,table,false,null,6,0,6,81920,80 kB
public,owner_contracts,table,false,null,32,0,32,98304,96 kB
public,owner_payments,table,false,null,18,0,18,344064,336 kB
public,owners,table,false,null,20,0,20,32768,32 kB
public,payment_proofs,table,false,null,9,0,9,65536,64 kB
public,payroll,table,false,null,26,0,26,40960,40 kB
public,payroll_sync,table,false,null,17,0,17,65536,64 kB
public,profiles,table,false,null,8,0,8,106496,104 kB
public,properties,table,false,null,15,1,16,81920,80 kB
public,property_images,table,false,null,8,0,8,65536,64 kB
public,purchase_items,table,false,null,7,0,7,16384,16 kB
public,purchase_orders,table,false,null,8,0,8,16384,16 kB
public,receipt_allocations,table,false,null,9,0,9,40960,40 kB
public,receipt_number_counters,table,false,null,6,0,6,65536,64 kB
public,receipts,table,false,null,17,4,21,3997696,3904 kB
public,receipts_dedup_audit,table,false,null,9,0,9,32768,32 kB
public,regular_maintenance_rules,table,false,null,15,0,15,16384,16 kB
public,replacement_forecasts,table,false,null,7,0,7,24576,24 kB
public,role_permissions,table,false,null,10,0,10,98304,96 kB
public,room_switches,table,false,null,28,0,28,131072,128 kB
public,running_bed_maintenance_details,table,false,null,22,0,22,114688,112 kB
public,subscription_plans,table,false,null,15,0,15,49152,48 kB
public,tab_permissions,table,false,null,12,0,12,229376,224 kB
public,team_attendance,table,false,null,13,0,13,999424,976 kB
public,team_departments,table,false,null,7,0,7,49152,48 kB
public,team_members,table,false,null,37,0,37,32768,32 kB
public,team_payments,table,false,null,10,0,10,98304,96 kB
public,team_salary_bills,table,false,null,14,0,14,81920,80 kB
public,tenant_absence_records,table,false,null,9,0,9,32768,32 kB
public,tenant_adjustments,table,false,null,21,0,21,212992,208 kB
public,tenant_allotments,table,false,null,28,2,30,1540096,1504 kB
public,tenant_document_history,table,false,null,9,0,9,65536,64 kB
public,tenant_exits,table,false,null,25,0,25,565248,552 kB
public,tenant_notices,table,false,null,11,0,11,212992,208 kB
public,tenant_remarks,table,false,null,9,0,9,49152,48 kB
public,tenant_transactions,table,false,null,14,0,14,14475264,14 MB
public,tenants,table,false,null,54,1,55,1605632,1568 kB
