"Section","Item","Value","Trust","Note"
"Measures","Current rent per bed — B12 bed A1","₹19,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B12 bed B1","₹13,600.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B12 bed B2","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B12 bed C1","₹12,600.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B12 bed C2","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B13 bed A1","₹19,000.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B13 bed B1","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B13 bed B2","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B13 bed C1","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B13 bed C2","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B14 bed A1","₹19,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B14 bed B1","₹0.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B14 bed B2","₹0.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B14 bed C1","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B14 bed C2","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B22 bed A1","₹19,000.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B22 bed B1","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B22 bed C1","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B22 bed C2","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B24 bed A1","₹19,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B24 bed B1","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B24 bed B3","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B24 bed C1","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B24 bed C2","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B31 bed B1","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B31 bed B2","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B31 bed C1","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B31 bed C2","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B32 bed A1","₹19,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B32 bed B1","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B32 bed B2","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B32 bed C1","₹12,600.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B33 bed A1","₹19,000.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B33 bed B1","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B33 bed B2","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B34 bed A1","₹19,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B34 bed B1","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B34 bed B2","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B34 bed C1","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B34 bed C2","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B41 bed A1","₹19,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B41 bed B1","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B41 bed B2","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B41 bed C2","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B42 bed A1","₹19,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B42 bed B1","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B42 bed B2","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B42 bed C1","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B42 bed C2","₹12,600.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B43 bed A1","₹19,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B43 bed B1","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B43 bed B2","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B43 bed C1","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B43 bed C2","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B44 bed A1","₹19,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B44 bed B1","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B44 bed B2","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B44 bed B3","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B44 bed C1","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B44 bed C2","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C11 bed A1","₹19,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C11 bed B1","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C11 bed B2","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C11 bed C1","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C11 bed C2","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C12 bed A1","₹19,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C12 bed B1","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C12 bed B2","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C12 bed C1","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C12 bed C2","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C12 bed C3","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C12 bed D1","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C12 bed D2","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C21 bed A1","₹19,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C21 bed B1","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C21 bed B2","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C21 bed C1","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C21 bed C2","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C21 bed D1","₹25,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C24 bed B1","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C24 bed B2","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C24 bed B3","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C24 bed C1","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C24 bed C2","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C31 bed A1","₹19,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C31 bed B1","₹13,600.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C31 bed C1","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C31 bed D1","₹25,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C34 bed A1","₹19,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C34 bed B1","₹13,600.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C34 bed B2","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C34 bed C1","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C34 bed C2","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C41 bed C1","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C42 bed A1","₹19,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C42 bed B1","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C42 bed B2","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C42 bed C1","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C42 bed C2","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C43 bed A1","₹19,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C43 bed B1","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — C43 bed B2","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
