"Section","Item","Value","Trust","Note"
"Measures","Tenant dues outstanding — Def D: tenant_transactions (frozen legacy ledger)","Unclipped: ₹9,968,023.32; Floored at zero: ₹10,517,031.27","No single reliable figure — definitions conflict","One of several competing definitions."
"Measures","Tenant dues by tenant — Def A (reversals excluded)","₹83,297.85","No single reliable figure — definitions conflict","One of several competing definitions."
"Measures","Tenant dues by tenant — Def B (reversals included)","Ar balance: ₹83,297.85; Deposit held: ₹4,221,150.00; Booking advance: ₹0.00","No single reliable figure — definitions conflict","One of several competing definitions."
"Measures","Tenant dues by tenant — Def C: application","₹1,009,125.78","No single reliable figure — definitions conflict","One of several competing definitions."
"Measures","Tenant dues by tenant — Def D: tenant_transactions (frozen legacy)","Unclipped: ₹9,968,023.32; Floored at zero: ₹10,517,031.27","No single reliable figure — definitions conflict","One of several competing definitions."
"Measures","Tenant dues by property — Def A (reversals excluded)","₹83,297.85","Multiple definitions — review both","One of several competing definitions."
"Measures","Tenant dues by property — Def B (reversals included)","Ar balance: ₹83,297.85; Deposit held: ₹4,221,150.00; Booking advance: ₹0.00","Multiple definitions — review both","One of several competing definitions."
"Measures","Tenant dues by property — Def C: application","₹1,009,125.78","Multiple definitions — review both","One of several competing definitions."
"Measures","Tenant dues by property — Def D: tenant_transactions (frozen legacy)","Unclipped: ₹9,968,023.32; Floored at zero: ₹10,517,031.27","Multiple definitions — review both","One of several competing definitions."
"Measures","Deposit held","₹4,221,150.00","Reliable",""
"Measures","Deposit settlements — refund_amount_total","₹5,085,959.33","Usable, with a caveat","answer, but state the known limitation."
"Measures","Deposit settlements — total_deductions","₹1,936,718.10","Usable, with a caveat","answer, but state the known limitation."
"Measures","Deposit refunds","₹5,085,959.33","Usable, with a caveat","answer, but state the known limitation."
"Measures","Expenses","₹20,784,831.96","Reliable",""
"Measures","Expenses by category — administrative","₹-6,069.04","Usable, with a caveat","answer, but state the known limitation."
"Measures","Expenses by category — electricity","₹1,030,618.00","Usable, with a caveat","answer, but state the known limitation."
"Measures","Expenses by category — housekeeping","₹0.00","Usable, with a caveat","answer, but state the known limitation."
"Measures","Expenses by category — maintenance","₹677,036.00","Usable, with a caveat","answer, but state the known limitation."
"Measures","Expenses by category — marketing","₹24,631.00","Usable, with a caveat","answer, but state the known limitation."
"Measures","Expenses by category — other_expenses","₹39,366.00","Usable, with a caveat","answer, but state the known limitation."
"Measures","Expenses by category — owner_rent","₹19,019,250.00","Usable, with a caveat","answer, but state the known limitation."
"Measures","Expenses by category — property_ops","₹0.00","Usable, with a caveat","answer, but state the known limitation."
"Measures","Expenses by category — salaries","₹0.00","Usable, with a caveat","answer, but state the known limitation."
"Measures","Expenses by category — utilities","₹0.00","Usable, with a caveat","answer, but state the known limitation."
"Measures","Owner payments","₹19,019,250.00","Reliable",""
"Measures","Owner rent — Def i (v1: EXCLUDED entirely)","₹0.00","Multiple definitions — review both","One of several competing definitions."
"Measures","Owner rent — Def ii (ledger raw '510%' bucket)","₹19,019,250.00","Multiple definitions — review both","One of several competing definitions."
"Measures","Owner rent — Def iii (: substituted)","₹19,019,250.00","Multiple definitions — review both","One of several competing definitions."
"Measures","Profit — Def A (ledger)","₹51,920,761.47","No single reliable figure — definitions conflict","One of several competing definitions."
"Measures","Profit — Def B (v1)","₹71,689,383.40","No single reliable figure — definitions conflict","One of several competing definitions."
"Measures","Profit — Def C (owner-rent-inclusive)","₹51,920,761.47","No single reliable figure — definitions conflict","One of several competing definitions."
"Measures","P&L by month","2019-11-01: revenue: ₹1,000.00; expenses: ₹0.00; net_profit: ₹1,000.00; 2021-12-01: revenue: ₹-26,000.00; expenses: ₹0.00; net_profit: ₹-26,000.00; 2022-02-01: revenue: ₹0.00; expenses: ₹0.00; net_profit: ₹0.00; 2022-04-01: revenue: ₹1,000.00; expenses: ₹0.00; net_profit: ₹1,000.00; 2022-08-01: revenue: ₹0.00; expenses: ₹0.00; net_profit: ₹0.00; 2022-09-01: revenue: ₹-13,000.00; expenses: ₹0.00; net_profit: ₹-13,000.00","Reliable",""
"Measures","Cash balance","₹68,690,988.62","Reliable",""
"Measures","Trial balance / accounting checks — 1120","₹68,690,988.62","Reliable",""
"Measures","Trial balance / accounting checks — 1200","₹83,297.85","Reliable",""
"Measures","Trial balance / accounting checks — 1500","₹1,400,834.76","Reliable",""
"Measures","Trial balance / accounting checks — 2100","₹-4,221,150.00","Reliable",""
"Measures","Trial balance / accounting checks — 2200","₹-12,632,375.00","Reliable",""
"Measures","Trial balance / accounting checks — 2500","₹-1,400,834.76","Reliable",""
"Measures","Trial balance / accounting checks — 4100","₹-64,932,845.49","Reliable",""
"Measures","Trial balance / accounting checks — 4200","₹-6,626,964.98","Reliable",""
"Measures","Trial balance / accounting checks — 4250","₹-122,489.00","Reliable",""
"Measures","Trial balance / accounting checks — 4300","₹-321,000.00","Reliable",""
"Measures","Trial balance / accounting checks — 4400","₹-2,600.00","Reliable",""
"Measures","Trial balance / accounting checks — 4500","₹-265,105.00","Reliable",""
"Measures","Trial balance / accounting checks — 4900","₹-434,588.96","Reliable",""
"Measures","Trial balance / accounting checks — 5100","₹19,019,250.00","Reliable",""
"Measures","Trial balance / accounting checks — 5150","₹1,030,618.00","Reliable",""
"Measures","Trial balance / accounting checks — 5210","₹1,290.00","Reliable",""
"Measures","Trial balance / accounting checks — 5220","₹12,010.00","Reliable",""
"Measures","Trial balance / accounting checks — 5230","₹559.00","Reliable",""
"Measures","Trial balance / accounting checks — 5240","₹45,835.00","Reliable",""
"Measures","Trial balance / accounting checks — 5260","₹579,741.00","Reliable",""
"Measures","Trial balance / accounting checks — 5290","₹37,601.00","Reliable",""
"Measures","Trial balance / accounting checks — 5630","₹-6,069.04","Reliable",""
"Measures","Trial balance / accounting checks — 5800","₹24,631.00","Reliable",""
"Measures","Trial balance / accounting checks — 5900","₹39,366.00","Reliable",""
"Measures","Current rent per bed — A11 bed A1","₹19,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — A11 bed B1","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — A11 bed B2","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — A11 bed C1","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — A11 bed C2","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — A12 bed A1","₹19,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — A12 bed B1","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — A12 bed C1","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — A12 bed C2","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — A23 bed A1","₹19,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — A23 bed B1","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
