organization_id,account_id,code,name,account_type,normal_balance,parent_id,total_debit_rollup,total_credit_rollup,balance_rollup
00000000-0000-0000-0000-000000000001,022920c0-b83e-49c6-80d1-971aa3abcee0,5210,Maintenance - Plumbing,EXPENSE,DEBIT,d95c9317-9f29-4c53-a6e9-f606e23d15a7,1290.00,0.00,1290.00
00000000-0000-0000-0000-000000000001,2af3e09f-f22b-4b02-b28f-68375401679f,5220,Maintenance - Electrical,EXPENSE,DEBIT,d95c9317-9f29-4c53-a6e9-f606e23d15a7,12010.00,0.00,12010.00
00000000-0000-0000-0000-000000000001,011afb79-dfc9-4407-9d0b-9173431c57d3,5230,Maintenance - Carpentry,EXPENSE,DEBIT,d95c9317-9f29-4c53-a6e9-f606e23d15a7,559.00,0.00,559.00
00000000-0000-0000-0000-000000000001,55d72f21-428b-4bea-bb98-3d36cb0b685b,5240,Maintenance - Appliances,EXPENSE,DEBIT,d95c9317-9f29-4c53-a6e9-f606e23d15a7,45835.00,0.00,45835.00
00000000-0000-0000-0000-000000000001,77c0392f-738b-43d7-ba2a-4ac5fb9076b8,5250,Maintenance - Civil & Painting,EXPENSE,DEBIT,d95c9317-9f29-4c53-a6e9-f606e23d15a7,0,0,0
00000000-0000-0000-0000-000000000001,352a23d7-2965-4e8b-95e3-d5b3d4642127,5260,Maintenance - HVAC,EXPENSE,DEBIT,d95c9317-9f29-4c53-a6e9-f606e23d15a7,579741.00,0.00,579741.00
00000000-0000-0000-0000-000000000001,06a9a45d-cb31-4c49-817f-b51fa6e29c1c,5270,Maintenance - Pest Control,EXPENSE,DEBIT,d95c9317-9f29-4c53-a6e9-f606e23d15a7,0,0,0
00000000-0000-0000-0000-000000000001,fe7e339f-0da9-4f80-a19a-28125bfafa3d,5290,Maintenance - Other,EXPENSE,DEBIT,d95c9317-9f29-4c53-a6e9-f606e23d15a7,37601.00,0.00,37601.00
00000000-0000-0000-0000-000000000001,e14dc7ef-27ac-4607-bf13-591d5669f913,5300,Housekeeping & Cleaning,EXPENSE,DEBIT,419ad0eb-734c-4119-8077-daa0718301f1,0,0,0
00000000-0000-0000-0000-000000000001,b7d6cad9-bb70-4fae-b489-15f9e9df0aaa,5310,Housekeeping - Salaries,EXPENSE,DEBIT,e14dc7ef-27ac-4607-bf13-591d5669f913,0,0,0
00000000-0000-0000-0000-000000000001,f23b366d-2edc-464b-8b59-4fe687c6e821,5320,Housekeeping - Supplies,EXPENSE,DEBIT,e14dc7ef-27ac-4607-bf13-591d5669f913,0,0,0
00000000-0000-0000-0000-000000000001,6c957028-7068-45de-9b53-686174f20570,5330,Housekeeping - Contract,EXPENSE,DEBIT,e14dc7ef-27ac-4607-bf13-591d5669f913,0,0,0
