source_table,forward_entries,reversal_entries,distinct_sources,min_entry_date,max_entry_date,distinct_months,min_posted_at,max_posted_at
receipts,5971,114,5855,2022-11-30,2026-08-28,46,2026-04-25 11:21:14.487161+00,2026-08-29 04:29:03.478242+00
invoices,5379,179,5204,2023-02-05,2026-09-20,44,2026-04-27 09:35:59.21031+00,2026-08-29 04:29:03.046662+00
manual,645,2,625,2019-11-03,2026-07-30,51,2026-04-27 12:46:27.063774+00,2026-07-30 16:54:59.782005+00
expenses,516,0,516,2023-03-11,2026-08-24,35,2026-04-25 11:21:14.487161+00,2026-08-24 10:06:17.305383+00
owner_payments,410,0,345,2022-11-01,2026-08-01,46,2026-08-13 09:14:24.263788+00,2026-08-13 10:36:58.955367+00
deposit_settlements,338,38,300,2023-04-03,2026-08-26,34,2026-04-29 00:04:04.288255+00,2026-08-27 05:54:21.13794+00
assets,287,0,287,2023-03-30,2026-03-23,24,2026-05-09 03:32:17.410825+00,2026-05-09 03:32:17.410825+00
tenant_adjustments,273,14,266,2021-12-05,2026-08-25,43,2026-04-25 11:21:14.487161+00,2026-08-21 11:37:39.118131+00
eb_payments,70,0,70,2026-05-05,2026-07-02,2,2026-06-12 03:27:05.826942+00,2026-07-02 09:10:25.453897+00
