counted_at,table_schema,table_name,relkind,exact_rows
2026-08-29 09:02:53.218115+00,public,asset_types,table,34
2026-08-29 09:02:53.218115+00,public,room_switches,table,34
2026-08-29 09:02:53.218115+00,public,issue_type_asset_types,table,33
2026-08-29 09:02:53.218115+00,public,accounting_migration_log,table,30
2026-08-29 09:02:53.218115+00,public,ticket_cost_estimates,table,28
2026-08-29 09:02:53.218115+00,public,bed_rates,table,24
2026-08-29 09:02:53.218115+00,public,payment_proofs,table,24
2026-08-29 09:02:53.218115+00,public,employees_sync,table,23
2026-08-29 09:02:53.218115+00,public,running_bed_maintenance_details,table,23
2026-08-29 09:02:53.218115+00,public,team_members,table,20
2026-08-29 09:02:53.218115+00,public,enquiries,table,18
2026-08-29 09:02:53.218115+00,public,payroll_sync,table,18
2026-08-29 09:02:53.218115+00,public,export_entity_registry,table,17
2026-08-29 09:02:53.218115+00,market,amenities_master,table,15
2026-08-29 09:02:53.218115+00,public,ai_sessions,table,14
2026-08-29 09:02:53.218115+00,public,issue_type_expense_mapping,table,14
2026-08-29 09:02:53.218115+00,public,issue_types,table,14
2026-08-29 09:02:53.218115+00,public,owners,table,13
2026-08-29 09:02:53.218115+00,public,ticket_cost_estimates_dedupe_backup_20260715,table,12
2026-08-29 09:02:53.218115+00,public,asset_categories,table,11
2026-08-29 09:02:53.218115+00,public,employee_specialties,table,10
2026-08-29 09:02:53.218115+00,public,expense_subcategories,table,10
2026-08-29 09:02:53.218115+00,public,bot_conversations,table,9
2026-08-29 09:02:53.218115+00,public,expense_categories,table,9
2026-08-29 09:02:53.218115+00,public,receipts_dedup_audit,table,9
2026-08-29 09:02:53.218115+00,public,receipt_number_counters,table,8
2026-08-29 09:02:53.218115+00,public,ai_actions,table,7
2026-08-29 09:02:53.218115+00,public,ticket_assignment_rules,table,7
2026-08-29 09:02:53.218115+00,market,localities,table,6
2026-08-29 09:02:53.218115+00,public,otp_codes,table,6
2026-08-29 09:02:53.218115+00,public,gst_monthly_workings,table,5
2026-08-29 09:02:53.218115+00,market,org_tracked_localities,table,5
2026-08-29 09:02:53.218115+00,public,organization_bank_accounts,table,5
2026-08-29 09:02:53.218115+00,public,ticket_number_counters,table,5
2026-08-29 09:02:53.218115+00,public,email_templates,table,4
2026-08-29 09:02:53.218115+00,market,scrape_sources,table,4
2026-08-29 09:02:53.218115+00,public,subscription_plans,table,4
2026-08-29 09:02:53.218115+00,public,team_departments,table,4
2026-08-29 09:02:53.218115+00,public,ticket_purchases,table,4
2026-08-29 09:02:53.218115+00,public,exit_tasks,table,3
2026-08-29 09:02:53.218115+00,public,team_payments,table,3
2026-08-29 09:02:53.218115+00,public,eb_rates,table,2
2026-08-29 09:02:53.218115+00,public,invoice_pdf_configs,table,2
2026-08-29 09:02:53.218115+00,public,property_images,table,2
2026-08-29 09:02:53.218115+00,public,tenant_remarks,table,2
2026-08-29 09:02:53.218115+00,public,announcements,table,1
2026-08-29 09:02:53.218115+00,market,competitor_room_types,table,1
2026-08-29 09:02:53.218115+00,public,cost_estimate_approvers,table,1
2026-08-29 09:02:53.218115+00,public,org_branding_settings,table,1
2026-08-29 09:02:53.218115+00,public,org_email_settings,table,1
2026-08-29 09:02:53.218115+00,public,org_whatsapp_settings,table,1
2026-08-29 09:02:53.218115+00,public,organization_subscriptions,table,1
2026-08-29 09:02:53.218115+00,public,organizations,table,1
2026-08-29 09:02:53.218115+00,public,properties,table,1
2026-08-29 09:02:53.218115+00,public,tenant_document_history,table,1
2026-08-29 09:02:53.218115+00,public,accounting_periods,table,0
2026-08-29 09:02:53.218115+00,market,amenity_embeddings,table,0
2026-08-29 09:02:53.218115+00,public,asset_depreciation,table,0
2026-08-29 09:02:53.218115+00,public,asset_maintenance_logs,table,0
2026-08-29 09:02:53.218115+00,public,asset_movements,table,0
2026-08-29 09:02:53.218115+00,public,asset_payments,table,0
2026-08-29 09:02:53.218115+00,public,attendance_logs,table,0
2026-08-29 09:02:53.218115+00,public,bed_status_history,table,0
2026-08-29 09:02:53.218115+00,public,bed_type_config,table,0
2026-08-29 09:02:53.218115+00,public,companies,table,0
2026-08-29 09:02:53.218115+00,market,competitor_pricing_snapshots,partitioned_table,0
2026-08-29 09:02:53.218115+00,market,competitor_pricing_snapshots_2026_05,table,0
