id,user_id,specialty,created_at
319e8b7f-86d9-4dac-9de3-4e755730f29e,7a94ffdc-183f-40e9-a7df-040ec4e4ef67,Plumbing,2026-03-30 12:45:39.100333+00
b247dd91-5d78-45a6-a62f-72c34008aae3,7a94ffdc-183f-40e9-a7df-040ec4e4ef67,AC Technician,2026-03-30 12:45:39.100333+00
ca0e494d-346a-4f20-aa7f-e66df9808ddd,7a94ffdc-183f-40e9-a7df-040ec4e4ef67,Technician,2026-03-30 12:45:39.100333+00
1fda753a-fb91-4e4c-98b9-0298f2e9a463,b48573e1-c1d9-45dd-ac6c-f08fef9c997c,IT Support,2026-07-23 09:27:21.423968+00
eef93e50-57d4-49fe-ae1e-bd060ca59681,b48573e1-c1d9-45dd-ac6c-f08fef9c997c,Technician,2026-07-23 09:27:21.423968+00
fd340b47-fdfa-46eb-92b2-d8dbcf41d0b5,b48573e1-c1d9-45dd-ac6c-f08fef9c997c,Software,2026-07-23 09:27:21.423968+00
949164d3-62fe-4827-872a-0dc52fa5a4bc,bd081ad6-5fe3-4c1d-a919-81b1055efa19,Plumbing,2026-07-23 09:27:36.933445+00
a3760a8d-b8b3-42ad-8316-4fb03409dfb5,bd081ad6-5fe3-4c1d-a919-81b1055efa19,AC Technician,2026-07-23 09:27:36.933445+00
77f085b6-fafc-47f7-bab8-6fde2ba526a9,54acafd0-4c07-4bbf-97ee-b4760389c991,Application Tech,2026-08-12 05:51:56.141662+00
8053abd7-279c-415a-a3fc-a4d63e22ba1b,54acafd0-4c07-4bbf-97ee-b4760389c991,Software,2026-08-12 05:51:56.141662+00
