organization_id,property_id,month,category_code,category_name,account_code,account_name,amount,pct_of_category,pct_of_total
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-04-01,5200,Maintenance & Repairs,5260,Maintenance - HVAC,12000.00,100.00,3.81
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-05-01,5000,Operating Expenses,5100,Owner Rent Expense,303000.00,100.00,100.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-06-01,5000,Operating Expenses,5100,Owner Rent Expense,303000.00,100.00,100.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-07-01,5000,Operating Expenses,5100,Owner Rent Expense,303000.00,100.00,100.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-08-01,5000,Operating Expenses,5100,Owner Rent Expense,303000.00,98.34,91.44
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-08-01,5000,Operating Expenses,5800,Marketing & Tenant Acquisition,5126.00,1.66,1.55
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-08-01,5200,Maintenance & Repairs,5260,Maintenance - HVAC,23250.00,100.00,7.02
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-09-01,5000,Operating Expenses,5100,Owner Rent Expense,336000.00,100.00,97.87
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-09-01,5200,Maintenance & Repairs,5260,Maintenance - HVAC,7320.00,100.00,2.13
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-10-01,5000,Operating Expenses,5100,Owner Rent Expense,436000.00,100.00,96.98
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-10-01,5200,Maintenance & Repairs,5260,Maintenance - HVAC,13570.00,100.00,3.02
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-11-01,5000,Operating Expenses,5100,Owner Rent Expense,474500.00,100.00,98.47
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-11-01,5200,Maintenance & Repairs,5260,Maintenance - HVAC,7350.00,100.00,1.53
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-12-01,5000,Operating Expenses,5100,Owner Rent Expense,474500.00,100.00,99.22
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-12-01,5200,Maintenance & Repairs,5260,Maintenance - HVAC,3730.00,100.00,0.78
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-01-01,5000,Operating Expenses,5100,Owner Rent Expense,474500.00,100.00,98.82
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-01-01,5200,Maintenance & Repairs,5260,Maintenance - HVAC,5650.00,100.00,1.18
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-02-01,5000,Operating Expenses,5100,Owner Rent Expense,474500.00,100.00,97.18
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-02-01,5200,Maintenance & Repairs,5260,Maintenance - HVAC,13770.00,100.00,2.82
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-03-01,5000,Operating Expenses,5100,Owner Rent Expense,474500.00,100.00,97.18
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-03-01,5200,Maintenance & Repairs,5260,Maintenance - HVAC,16250.00,100.00,3.33
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-03-01,5600,Administrative,5630,Bank Charges & CC Fees,-2494.00,100.00,-0.51
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-04-01,5000,Operating Expenses,5100,Owner Rent Expense,474500.00,100.00,92.41
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-04-01,5200,Maintenance & Repairs,5240,Maintenance - Appliances,1200.00,3.19,0.23
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-04-01,5200,Maintenance & Repairs,5260,Maintenance - HVAC,33850.00,89.93,6.59
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-04-01,5200,Maintenance & Repairs,5290,Maintenance - Other,2590.00,6.88,0.50
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-04-01,5600,Administrative,5630,Bank Charges & CC Fees,1305.43,100.00,0.25
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-05-01,5000,Operating Expenses,5100,Owner Rent Expense,478000.00,100.00,86.41
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-05-01,5200,Maintenance & Repairs,5260,Maintenance - HVAC,75230.00,100.00,13.60
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-05-01,5600,Administrative,5630,Bank Charges & CC Fees,-52.00,100.00,-0.01
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-06-01,5000,Operating Expenses,5100,Owner Rent Expense,478000.00,100.00,96.89
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-06-01,5200,Maintenance & Repairs,5240,Maintenance - Appliances,230.00,1.51,0.05
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-06-01,5200,Maintenance & Repairs,5260,Maintenance - HVAC,14150.00,92.67,2.87
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-06-01,5200,Maintenance & Repairs,5290,Maintenance - Other,890.00,5.83,0.18
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-06-01,5600,Administrative,5630,Bank Charges & CC Fees,60.00,100.00,0.01
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-07-01,5000,Operating Expenses,5100,Owner Rent Expense,478000.00,99.17,92.74
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-07-01,5000,Operating Expenses,5800,Marketing & Tenant Acquisition,4000.00,0.83,0.78
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-07-01,5200,Maintenance & Repairs,5220,Maintenance - Electrical,3000.00,8.96,0.58
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-07-01,5200,Maintenance & Repairs,5240,Maintenance - Appliances,380.00,1.14,0.07
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-07-01,5200,Maintenance & Repairs,5260,Maintenance - HVAC,28810.00,86.08,5.59
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-07-01,5200,Maintenance & Repairs,5290,Maintenance - Other,1280.00,3.82,0.25
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-07-01,5600,Administrative,5630,Bank Charges & CC Fees,-52.00,100.00,-0.01
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-08-01,5000,Operating Expenses,5100,Owner Rent Expense,478000.00,98.96,90.50
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-08-01,5000,Operating Expenses,5800,Marketing & Tenant Acquisition,5000.00,1.04,0.95
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-08-01,5200,Maintenance & Repairs,5220,Maintenance - Electrical,1590.00,3.52,0.30
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-08-01,5200,Maintenance & Repairs,5240,Maintenance - Appliances,472.00,1.04,0.09
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-08-01,5200,Maintenance & Repairs,5260,Maintenance - HVAC,39450.00,87.26,7.47
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-08-01,5200,Maintenance & Repairs,5290,Maintenance - Other,3700.00,8.18,0.70
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-08-01,5600,Administrative,5630,Bank Charges & CC Fees,-54.00,100.00,-0.01
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-09-01,5000,Operating Expenses,5100,Owner Rent Expense,686000.00,99.85,92.75
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-09-01,5000,Operating Expenses,5800,Marketing & Tenant Acquisition,1000.00,0.15,0.14
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-09-01,5200,Maintenance & Repairs,5240,Maintenance - Appliances,10283.00,19.52,1.39
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-09-01,5200,Maintenance & Repairs,5260,Maintenance - HVAC,42400.00,80.48,5.73
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-09-01,5600,Administrative,5630,Bank Charges & CC Fees,-53.00,100.00,-0.01
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-10-01,5000,Operating Expenses,5100,Owner Rent Expense,691000.00,99.86,93.69
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-10-01,5000,Operating Expenses,5800,Marketing & Tenant Acquisition,1000.00,0.14,0.14
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-10-01,5200,Maintenance & Repairs,5260,Maintenance - HVAC,44800.00,98.35,6.07
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-10-01,5200,Maintenance & Repairs,5290,Maintenance - Other,750.00,1.65,0.10
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-11-01,5000,Operating Expenses,5100,Owner Rent Expense,697725.00,100.00,97.83
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-11-01,5200,Maintenance & Repairs,5240,Maintenance - Appliances,6000.00,38.71,0.84
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-11-01,5200,Maintenance & Repairs,5260,Maintenance - HVAC,8000.00,51.61,1.12
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-11-01,5200,Maintenance & Repairs,5290,Maintenance - Other,1500.00,9.68,0.21
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-12-01,5000,Operating Expenses,5100,Owner Rent Expense,697725.00,100.00,99.04
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-12-01,5000,Operating Expenses,5800,Marketing & Tenant Acquisition,-27.00,0.00,0.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-12-01,5200,Maintenance & Repairs,5260,Maintenance - HVAC,6500.00,100.00,0.92
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-12-01,5600,Administrative,5630,Bank Charges & CC Fees,278.00,100.00,0.04
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-01-01,5000,Operating Expenses,5100,Owner Rent Expense,697725.00,99.86,99.45
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-01-01,5000,Operating Expenses,5800,Marketing & Tenant Acquisition,1000.00,0.14,0.14
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-01-01,5200,Maintenance & Repairs,5260,Maintenance - HVAC,3071.00,100.00,0.44
