id,name,organization_id,created_at
03161f42-14d4-24aa-fa35-efc51d4df792,Durian,00000000-0000-0000-0000-000000000001,2026-03-18 10:35:50.931768+00
084ee8c3-7bfe-e793-a391-dbd824b032ea,IFB,00000000-0000-0000-0000-000000000001,2026-03-18 10:35:50.931768+00
0944b7a8-68e8-185d-412f-6bb0195eabc8,Kurlon,00000000-0000-0000-0000-000000000001,2026-03-18 10:35:50.931768+00
0c7cc7c2-74e1-4e69-90e4-4bc3cb97f901,Haier,00000000-0000-0000-0000-000000000001,2026-03-18 10:35:50.931768+00
0e0b5d4b-0ce7-819f-9f9e-95a6e1d43256,Godrej Interio,00000000-0000-0000-0000-000000000001,2026-03-18 10:35:50.931768+00
2d41995c-bcf3-8dc6-3756-31b3ecf8e511,IKEA,00000000-0000-0000-0000-000000000001,2026-03-18 10:35:50.931768+00
2e084dca-1585-b713-1e25-84fe9f1cd0d4,Pepperfry,00000000-0000-0000-0000-000000000001,2026-03-18 10:35:50.931768+00
48be0736-a451-752c-a21e-d8689f20f6cf,Blue Star,00000000-0000-0000-0000-000000000001,2026-03-18 10:35:50.931768+00
4933a392-0f56-6a1c-9630-392f6e984413,Panasonic,00000000-0000-0000-0000-000000000001,2026-03-18 10:35:50.931768+00
4df51110-03c2-8a4c-2fe1-20e7a8e0664d,Godrej,00000000-0000-0000-0000-000000000001,2026-03-18 10:35:50.931768+00
5126b43e-81b3-028e-ae00-2f9fd3f7d8a7,Whirlpool,00000000-0000-0000-0000-000000000001,2026-03-18 10:35:50.931768+00
66c1d1b5-2e96-2615-5d1e-ee882ea79055,Jaquar,00000000-0000-0000-0000-000000000001,2026-03-18 10:35:50.931768+00
7aeb98d1-205c-4704-ab79-1dc3756dca53,Voltas,00000000-0000-0000-0000-000000000001,2026-03-18 10:35:50.931768+00
845bc863-65bb-504d-69fc-0018358b6524,Havells,00000000-0000-0000-0000-000000000001,2026-03-18 10:35:50.931768+00
85af7709-f2c1-ebce-fe7d-46b3104459c9,Pigeon,00000000-0000-0000-0000-000000000001,2026-03-18 10:35:50.931768+00
8f7ad70d-e7aa-67b5-9bc1-8bdd1a8ae3c8,LG,00000000-0000-0000-0000-000000000001,2026-03-18 10:35:50.931768+00
9897cd81-1c0d-d127-bde4-4b2ceba5630d,Sleepwell,00000000-0000-0000-0000-000000000001,2026-03-18 10:35:50.931768+00
996a26e1-54a8-c593-6497-07f7236e255c,Hindware,00000000-0000-0000-0000-000000000001,2026-03-18 10:35:50.931768+00
afe0b496-c17a-3e53-df1c-fb8868e6cad6,Urban Ladder,00000000-0000-0000-0000-000000000001,2026-03-18 10:35:50.931768+00
b82e7cf6-d9a9-7cfb-5b00-6945a2af6f91,Samsung,00000000-0000-0000-0000-000000000001,2026-03-18 10:35:50.931768+00
be0c1a45-0d9b-ec9d-37fa-da82ccf109f1,Butterfly,00000000-0000-0000-0000-000000000001,2026-03-18 10:35:50.931768+00
c3bb8eed-4269-9833-7e3e-03c9ca4b7659,Crompton,00000000-0000-0000-0000-000000000001,2026-03-18 10:35:50.931768+00
d7bf6dee-0c18-458d-7aaf-603ca7e311d4,Parryware,00000000-0000-0000-0000-000000000001,2026-03-18 10:35:50.931768+00
defacfeb-9804-7649-c154-b9900de8c521,Duroflex,00000000-0000-0000-0000-000000000001,2026-03-18 10:35:50.931768+00
e0decaaf-cdf7-366c-bf77-85342196ca4a,Wakefit,00000000-0000-0000-0000-000000000001,2026-03-18 10:35:50.931768+00
fc9bdeaf-5874-0806-5a57-3860b5381a82,Prestige,00000000-0000-0000-0000-000000000001,2026-03-18 10:35:50.931768+00
0104eccb-e91b-193c-9189-927cfa43735b,Croma,00000000-0000-0000-0000-000000000001,2026-04-10 21:42:56.147942+00
04c7827c-6bcb-782e-4386-20c4438ec283,Voltas Beko,00000000-0000-0000-0000-000000000001,2026-04-10 21:42:56.147942+00
0873332c-ebb8-418e-5e45-aae04486c5f6,Whirlppol,00000000-0000-0000-0000-000000000001,2026-04-10 21:42:56.147942+00
0bdc508a-1781-1a3a-860d-32749ad44e4b,Venus,00000000-0000-0000-0000-000000000001,2026-04-10 21:42:56.147942+00
1a135e2b-374a-2ad0-ad45-3d0f43b3effc,Impex,00000000-0000-0000-0000-000000000001,2026-04-10 21:42:56.147942+00
1d7d54ec-2444-a6e7-61c2-65d2d837a5b4,Racold,00000000-0000-0000-0000-000000000001,2026-04-10 21:42:56.147942+00
1eb59bd6-bb4f-dd1e-3e69-53edcbfb1f57,Preethi,00000000-0000-0000-0000-000000000001,2026-04-10 21:42:56.147942+00
2070b9a7-3779-58a1-1332-1543933a239b,Bajaj,00000000-0000-0000-0000-000000000001,2026-04-10 21:42:56.147942+00
278231b7-1b66-7e0e-8846-a3a4d232fe7d,Vestar,00000000-0000-0000-0000-000000000001,2026-04-10 21:42:56.147942+00
2e9482d0-d8f7-4531-f3c8-e2cdf9319d70,Adyar Mars,00000000-0000-0000-0000-000000000001,2026-04-10 21:42:56.147942+00
35ffb559-7287-1b2e-9735-550bf7f589d1,Daikin,00000000-0000-0000-0000-000000000001,2026-04-10 21:42:56.147942+00
6794fa16-90bb-9c3d-d2a2-69b7eefe59fa,Ferroli,00000000-0000-0000-0000-000000000001,2026-04-10 21:42:56.147942+00
702c3ef7-3afa-e6e7-cdc3-8a3e649574cb,Godraj,00000000-0000-0000-0000-000000000001,2026-04-10 21:42:56.147942+00
79eaa049-0e46-1194-d4e5-f69721e881b0,Baron,00000000-0000-0000-0000-000000000001,2026-04-10 21:42:56.147942+00
889b909d-0f02-f88f-a91b-6f75ad85127b,Onida,00000000-0000-0000-0000-000000000001,2026-04-10 21:42:56.147942+00
