source_table,empty_forward_je,empty_reversal_je,posted_je,total_je
manual,3,0,644,647
deposit_settlements,0,0,376,376
eb_payments,0,0,70,70
expenses,0,0,516,516
invoices,0,0,5558,5558
owner_payments,0,0,410,410
receipts,0,0,6085,6085
assets,0,0,287,287
tenant_adjustments,0,0,287,287
