bed_id,allotment_1,allotment_2,a1_in,a1_out,a1_status,a2_in,a2_out,a2_status,overlap_start,overlap_end
db22043a-4435-6d25-c2e9-01dd93cc79a4,07c6f13f-7961-4f07-bd58-291ed6c7c6ac,29267d93-2289-496e-9877-8228ee1032c9,2024-04-01,2024-04-01,Exited,2024-04-01,2024-07-31,Exited,2024-04-01,2024-04-01
db22043a-4435-6d25-c2e9-01dd93cc79a4,4eaa06fe-be7b-4d8f-8cba-fd92a3d3fb69,954a76d4-6294-4fd9-9c87-30457c524da9,2024-08-10,2025-09-30,Exited,2025-09-07,2025-11-29,Exited,2025-09-07,2025-09-30
db22043a-4435-6d25-c2e9-01dd93cc79a4,298ae27c-7f05-4e4a-b957-6a68d2287c2d,53e90bf9-8b82-4fc9-ac46-406163bf802d,2026-03-05,2026-06-26,Exited,2026-06-07,2026-08-24,Exited,2026-06-07,2026-06-26
dcfddc61-693e-2180-1cf6-f3e8e0dd40d8,9698da1c-596f-48ae-8618-16b9c409f192,cceba8fd-0028-40cb-8f28-b96d46ac40c5,2024-06-12,null,On-Notice,2024-05-14,2024-07-18,Exited,2024-06-12,2024-07-18
e0a547db-d8f2-1e21-a742-6f7c135bd802,43eec801-0423-458f-8e6c-dcadff5fcaf2,c55284ff-f120-4606-8d96-29c8ec1ce454,2025-09-03,2026-03-02,Exited,2026-02-26,2026-06-10,Exited,2026-02-26,2026-03-02
e5f8d124-710a-6c9f-2667-88950dcc7e60,7576e09b-31e9-4e4d-934f-f41e491fa425,9e4aafe0-ac55-401f-9248-72b172150db8,2023-07-11,2024-02-07,Exited,2023-07-01,2023-07-31,Exited,2023-07-11,2023-07-31
ebfa9ad2-0c93-9cd6-f85e-2d7449609b84,35f09de9-4fca-40ec-9b64-d79630bafd60,f9922902-5337-46f5-bf1f-7d8982a685af,2025-08-08,2026-02-01,Exited,2026-02-01,null,Staying,2026-02-01,2026-02-01
ee1fb02c-fb9a-533e-3afc-8a9125d2a24c,1c67797f-b194-445b-969a-ea04d891a7c6,abdf3e08-0e7d-4e9d-939e-2f4b77206a4a,2023-04-02,2023-05-26,Exited,2023-02-01,2023-04-03,Exited,2023-04-02,2023-04-03
ee1fb02c-fb9a-533e-3afc-8a9125d2a24c,0845dfe2-15f7-4aff-bc54-0f23410923bd,e2bb4d88-5e58-4d25-8869-1777a304550b,2024-07-17,2024-12-14,Exited,2024-02-15,2024-08-02,Exited,2024-07-17,2024-08-02
f108b08d-b6c6-e6fe-5782-ba89ca9c16ad,3b5c4873-3a99-40bf-bcbb-dfb9f530741c,4cdbcb50-8269-4839-948a-b81ec476b274,2024-07-25,2025-02-15,Exited,2024-06-09,2024-07-25,Exited,2024-07-25,2024-07-25
f108b08d-b6c6-e6fe-5782-ba89ca9c16ad,6fcb602b-fe97-43aa-a191-4ce78f19cfa3,c2533594-7bef-485f-9c06-e515153c4d3b,2025-05-18,2025-07-11,Exited,2025-07-11,2025-08-20,Exited,2025-07-11,2025-07-11
f1cc5c44-ebb5-5f81-9dac-9887fb5bb58e,7accdd63-1485-464a-806d-b438e220d5f5,fff67381-c4cf-4cea-bd9c-cf44f593c9ca,2024-05-16,2024-06-15,Exited,2024-06-03,2024-07-16,Exited,2024-06-03,2024-06-15
f1cc5c44-ebb5-5f81-9dac-9887fb5bb58e,7accdd63-1485-464a-806d-b438e220d5f5,96de0901-00a4-4065-9724-f9c3d04d2014,2024-05-16,2024-06-15,Exited,2024-04-26,2024-05-31,Exited,2024-05-16,2024-05-31
f1cc5c44-ebb5-5f81-9dac-9887fb5bb58e,db2c046b-1142-4ab0-888f-531b7a2f0966,fff67381-c4cf-4cea-bd9c-cf44f593c9ca,2024-07-02,2024-11-15,Exited,2024-06-03,2024-07-16,Exited,2024-07-02,2024-07-16
f21233ef-4976-14c5-b37d-3c30b4a3a97a,5c95a1ac-7b19-4b5d-a083-135551f8438d,eb56b25c-a8c0-47a7-a129-f50976eef501,2022-10-03,2022-12-13,Exited,2022-08-28,2023-03-06,Exited,2022-10-03,2022-12-13
f21233ef-4976-14c5-b37d-3c30b4a3a97a,47ff34bd-dce4-48e4-91d4-a599695e48f1,73f27fac-554e-48b2-b97d-1d42f202ef3e,2024-07-28,2025-12-30,Exited,2025-12-17,2026-04-12,Exited,2025-12-17,2025-12-30
f226894e-3765-1bd7-6cda-03e887bc56b3,802ace6f-47d3-4de4-ab64-6c90bb5f6212,866f165e-557f-4591-8050-923411f82acb,2022-04-27,2024-05-10,Exited,2024-05-07,2024-05-31,Exited,2024-05-07,2024-05-10
f8438f04-74bb-497b-3e33-ff6f52b77043,948c83b1-ecc1-440f-9997-479b290ef8a0,f395ecb5-f67d-431c-8735-291f7a05d552,2025-04-01,null,Staying,2023-03-11,2025-04-14,Exited,2025-04-01,2025-04-14
f9b73f69-33c8-b36d-daf6-c7078c00692c,807af96c-1bab-4972-a055-2b143ce2d0ba,9f4616fa-a5b3-4973-b0e8-fe9dc42e5706,2023-09-03,2023-11-03,Exited,2023-10-18,2024-03-27,Exited,2023-10-18,2023-11-03
f9b73f69-33c8-b36d-daf6-c7078c00692c,3872c789-953f-4053-8cc2-01034dd1ec2e,9f4616fa-a5b3-4973-b0e8-fe9dc42e5706,2024-03-24,2024-07-31,Exited,2023-10-18,2024-03-27,Exited,2024-03-24,2024-03-27
f9b73f69-33c8-b36d-daf6-c7078c00692c,90df3267-4239-48a4-89aa-4a61e24239bc,a72d65a2-b126-48f6-8030-369501a0a7fa,2025-03-05,null,Staying,2025-03-12,2025-04-12,Exited,2025-03-12,2025-04-12
fc9765ca-aee5-6f71-e441-e12679f0bb12,e4a9b466-0d37-4e62-b780-fa328de3d306,ffc3777a-baa2-4d5a-bc63-e6ae4b76fce6,2023-04-02,2023-05-27,Exited,2023-02-01,2023-04-03,Exited,2023-04-02,2023-04-03
fc9765ca-aee5-6f71-e441-e12679f0bb12,6c08a897-9cd6-4c0c-8e6b-5f5b02a1c6a7,9bdf254a-5df8-44a7-813b-e9b06e4ff4f2,2024-01-25,2024-07-11,Exited,2024-07-07,2024-12-14,Exited,2024-07-07,2024-07-11
fd583622-d483-7a0e-b288-a9d0d1e0807a,8cada743-d341-4211-b2f2-094d551e9ef3,d6ff5050-d218-472d-8629-1e322818167d,2025-01-12,2026-08-21,Exited,2024-09-01,2025-04-30,Exited,2025-01-12,2025-04-30
fd583622-d483-7a0e-b288-a9d0d1e0807a,349077f2-398a-4e69-9dd0-86494973ad4d,8cada743-d341-4211-b2f2-094d551e9ef3,2026-08-21,null,Staying,2025-01-12,2026-08-21,Exited,2026-08-21,2026-08-21
