invoice_id,invoice_number,invoice_date,billing_month,invoice_type,status,is_deleted,source_amount,ledger_amount,difference,entry_count,reversal_count
42403e01-c976-4d55-882e-68899e02783e,VISTA/26-27/05/00100,2026-05-01,2026-05,regular,pending,false,16820.00,33516.00,16696.00,3,1
92713bad-c8a3-4768-bfd2-ceaa59f5a23f,VISTA/26-27/05/00168,2026-05-01,2026-05,regular,pending,false,16660.00,33350.00,16690.00,3,1
21f69f96-f542-4293-b70a-4c1ca17e1f24,VISTA/26-27/05/00152,2026-05-01,2026-05,regular,pending,false,17710.00,34370.00,16660.00,3,1
724253de-c42c-402c-aff8-23806a4c7776,VISTA/26-27/05/00096,2026-05-01,2026-05,regular,pending,false,16580.00,33130.00,16550.00,3,1
d061f6c3-e6d5-4165-96f5-2caea06fb567,VISTA/26-27/06/00069,2026-06-01,2026-06,regular,pending,false,14500.00,30798.00,16298.00,3,1
6bb8bc3b-6238-46fc-8be1-387487cde0b0,VISTA/26-27/06/00006,2026-06-01,2026-06,regular,pending,false,15500.00,31603.00,16103.00,3,1
fdd89d2c-d2c2-4fef-a7ea-5067702a8f84,VISTA/26-27/06/00171,2026-06-01,2026-06,regular,pending,false,8033.00,24094.00,16061.00,5,2
9ef81a96-aa0b-490d-889c-f8d213e5e5bf,VISTA/26-27/05/00052,2026-05-01,2026-05,regular,pending,false,15970.00,31880.00,15910.00,3,1
4cfcc5cd-2680-4f78-96ba-ed9846f8e6ab,VISTA/26-27/05/00047,2026-05-01,2026-05,regular,pending,false,15820.00,31700.00,15880.00,3,1
19de3e02-ae8a-41db-86b3-805610d7c655,VISTA/26-27/05/00011,2026-05-01,2026-05,regular,pending,false,15860.00,31710.00,15850.00,3,1
d2ace94e-e138-46e8-bb90-ea69748afdee,VISTA/26-27/05/00106,2026-05-01,2026-05,regular,pending,false,11370.00,26950.00,15580.00,3,1
bcb4b7a2-53a7-422d-b5b6-648f26af8e7f,VISTA/26-27/05/00153,2026-05-01,2026-05,regular,pending,false,15580.00,31130.00,15550.00,3,1
cb30312a-7f8b-49ec-8dce-48f4e34bb8ad,VISTA/26-27/07/00187,2026-07-01,2026-07,regular,partial,false,15836.00,31336.00,15500.00,3,1
2676b772-c7a4-47a1-a156-1ac20ff3033b,VISTA/26-27/05/00067,2026-05-01,2026-05,regular,pending,false,15450.00,30870.00,15420.00,3,1
90978e61-6b38-4a2c-b96d-55ecbd9f7deb,VISTA/26-27/05/00062,2026-05-01,2026-05,regular,pending,false,15450.00,30870.00,15420.00,3,1
d5b32fe5-c3e7-42df-b35f-dd5d5d61e1c4,VISTA/26-27/08/00177,2026-08-02,2026-08,regular,paid,false,14500.00,29500.00,15000.00,3,1
049f22b7-40ed-47ea-bd54-1edd076dbc51,VISTA/26-27/05/00105,2026-05-01,2026-05,regular,pending,false,14970.00,29880.00,14910.00,3,1
49a37923-7e5e-43b8-88d3-8f425886e9cf,VISTA/26-27/05/00111,2026-05-01,2026-05,regular,pending,false,14970.00,29880.00,14910.00,3,1
21dcf37a-937c-416d-b0c4-8bd06131bf0b,VISTA/26-27/05/00005,2026-05-01,2026-05,regular,pending,false,14745.00,29480.00,14735.00,3,1
7817ae50-d5c3-4e91-b853-925d1fdbd363,VISTA/26-27/08/00015,2026-08-01,2026-08,regular,pending,false,17538.00,32038.00,14500.00,3,1
a481788a-262a-48f8-a4ce-a04ab0e86c9c,VISTA/26-27/07/00175,2026-07-01,2026-07,regular,paid,false,10290.00,24790.00,14500.00,3,1
eb1fcd9c-431e-449a-8f2f-19d6d1712afb,VISTA/26-27/07/00174,2026-07-01,2026-07,regular,paid,false,10290.00,24790.00,14500.00,3,1
ba5ef25b-a1e2-4704-b359-99cee682b97c,VISTA/26-27/07/00049,2026-07-01,2026-07,regular,pending,false,7637.00,21709.00,14072.00,5,2
7afd00a0-2cee-48c2-898c-9a4d32dc099c,VISTA/26-27/05/00216,2026-05-01,2026-05,regular,paid,false,6968.00,20468.00,13500.00,3,1
6a3ed4a5-541f-445a-808a-f85851190bc4,VISTA/26-27/05/00037,2026-05-01,2026-05,regular,pending,false,12355.00,24706.00,12351.00,3,1
573dc184-54a6-46fb-a0eb-358e7674806b,VISTA/26-27/05/00207,2026-05-11,2026-05,regular,paid,false,2340.00,14502.00,12162.00,5,2
ff837f40-7c4b-4b88-9304-563053387915,VISTA/26-27/06/00197,2026-06-17,2026-06,regular,pending,false,13199.00,24958.00,11759.00,3,1
128bcb60-130f-4e5f-a609-c93d6f5625e9,VISTA/26-27/07/00030,2026-07-01,2026-07,regular,pending,false,10180.00,21248.00,11068.00,3,1
17c92e87-97d1-472e-becf-2abf80fae78f,VISTA/25-26/02/00105,2026-02-01,2026-02,regular,partial,false,5490.00,16220.00,10730.00,5,2
cebbcf06-6913-4515-b500-828e8620ee9f,VISTA/26-27/07/00009,2026-07-01,2026-07,regular,pending,false,9613.00,19952.00,10339.00,3,1
d4bae020-64de-44b8-bc91-6eba14b0b2c0,VISTA/26-27/07/00034,2026-07-01,2026-07,regular,pending,false,7655.00,15806.00,8151.00,3,1
a8b7587a-847b-4295-9f47-3aafe14fffe2,VISTA/26-27/07/00036,2026-07-01,2026-07,regular,pending,false,7477.00,15262.00,7785.00,3,1
c3ebdcbf-8211-470b-baba-c82c51a3d89b,VISTA/26-27/07/00037,2026-07-01,2026-07,regular,pending,false,7477.00,15262.00,7785.00,3,1
042cd053-5402-4351-9210-64929528e69c,VISTA/26-27/06/00183,2026-06-04,2026-06,regular,pending,false,3950.00,11570.00,7620.00,5,2
fe05c569-fd27-4731-94f4-c0bc540f9b38,VISTA/26-27/07/00088,2026-07-01,2026-07,regular,pending,false,6009.00,12094.00,6085.00,3,1
062f22ff-459c-4bf8-ad23-17a27864ac7c,VISTA/26-27/07/00217,2026-07-19,2026-07,regular,paid,false,4210.00,10291.00,6081.00,3,1
452816fe-0da0-45ca-a954-798d0a422e93,VISTA/26-27/05/00211,2026-05-01,2026-05,regular,pending,false,5055.00,10070.00,5015.00,3,1
463196f3-615d-4d2b-bc60-ab6b559a83a6,VISTA/26-27/08/00041,2026-08-01,2026-08,regular,pending,false,4478.00,9299.00,4821.00,3,1
66ddaa6e-d876-4de7-9b9f-b2d95be5d8e7,VISTA/26-27/05/00054,2026-05-01,2026-05,exit_charge,paid,false,0.00,4500.00,4500.00,4,2
8285171f-22c5-447f-9c7c-4b00267c1159,VISTA/26-27/07/00092,2026-07-01,2026-07,regular,pending,false,2360.00,6704.00,4344.00,5,2
6ca4fc21-9115-4621-bd34-53bf625b555a,VISTA/26-27/05/00112,2026-05-01,2026-05,regular,pending,false,3761.00,7775.00,4014.00,3,1
1b6e0e63-e17c-4614-965d-c319f64c514c,null,2026-06-01,2026-06,regular,pending,false,19500.00,23501.00,4001.00,3,1
44cf49e7-e2ea-425b-a114-d176de8f8a90,null,2026-05-17,2026-05,regular,pending,false,953.00,4061.00,3108.00,5,2
3aec5030-42f0-4677-a7c1-9bb31bdedf4a,VISTA/26-27/05/00038,2026-05-01,2026-05,exit_charge,pending,false,2250.00,4500.00,2250.00,3,1
6212f820-23cd-45b9-b2e7-5adb7a2531db,VISTA/26-27/05/00036,2026-05-01,2026-05,exit_charge,pending,false,2250.00,4500.00,2250.00,3,1
7204ddd0-89d7-45ab-b240-abca1dedf390,VISTA/26-27/05/00113,2026-05-01,2026-05,exit_charge,paid,false,0.00,2250.00,2250.00,2,1
768ea324-38fb-4666-9a0e-c1f80f3cdafa,VISTA/26-27/05/00135,2026-05-01,2026-05,exit_charge,paid,false,0.00,2250.00,2250.00,2,1
