id,organization_id,city,state,pincode,bank_name,created_at,status
0a2d863e-5c6d-141d-c9a2-324ba3e8eaec,00000000-0000-0000-0000-000000000001,Chennai,Mylapore,600004,null,2025-06-28 15:17:17+00,active
2284d91b-9c6c-bb96-fbda-619b19c4b7d9,00000000-0000-0000-0000-000000000001,Chennai,Tiruvanmiyur,600041,Axis,2025-06-28 15:17:17+00,active
262369ce-9f4c-b9f2-678b-50834151e053,00000000-0000-0000-0000-000000000001,Chennai,Mylapore,600004,CUB,2025-06-28 15:17:17+00,active
2688c52b-16ca-7a88-b0d4-e0afce3e093a,00000000-0000-0000-0000-000000000001,Chennai,Mylapore,600004,Kotak,2025-06-28 15:17:17+00,active
5d35e189-54ab-5810-8c68-2fb35fd7e2c2,00000000-0000-0000-0000-000000000001,Chennai,Tiruvanmiyur,600041,HDFC,2025-06-28 15:17:17+00,active
7061afaf-3809-debc-d8e0-41e9a2818ec9,00000000-0000-0000-0000-000000000001,Chennai,Tiruvanmiyur,600041,IOB,2025-06-28 15:17:17+00,active
84ae90b8-a331-26a2-08d0-ab61c4ef3cfc,00000000-0000-0000-0000-000000000001,Chennai,Tamil Nadu,600004,null,2025-06-28 15:17:17+00,active
a7fbd105-e541-b71b-a96b-933ba3d18f64,00000000-0000-0000-0000-000000000001,Chennai,Mylapore,600004,null,2025-06-28 15:17:17+00,active
a827e6bc-bdff-d3b3-1537-1ac222d1f88d,00000000-0000-0000-0000-000000000001,Chennai,Mylapore,600004,null,2025-06-28 15:17:17+00,active
be872c10-a53e-4c2b-acfa-513db3e9782b,00000000-0000-0000-0000-000000000001,Chennai,Mylapore,600004,Bank of India,2025-06-28 15:17:17+00,active
c74440fb-27db-6976-9aad-5a9b38baa0d5,00000000-0000-0000-0000-000000000001,Chennai,Mylapore,600004,ICICI,2025-06-28 15:17:17+00,active
edbfeb2a-e50b-c136-14d7-79f03c54e839,00000000-0000-0000-0000-000000000001,Chennai,Tiruvanmiyur,600041,ICICI,2025-06-28 15:17:17+00,active
8166231c-8fd5-6cee-f82f-a7d59588ebbc,00000000-0000-0000-0000-000000000001,Chennai,Tamil Nadu,600017,CUB,null,null
