id,issue_type_id,assigned_employee_id,priority,organization_id,created_at,rule_type,apartment_code
0cabfb50-57fd-45a2-9ea7-22718ea877f1,null,1da9e75d-51ab-4a53-9fc5-222ba2c12524,10,00000000-0000-0000-0000-000000000001,2026-03-20 12:03:08.410054+00,apartment,B
0f40e011-cdcf-4d20-abf7-3d858c6d0dc7,null,1da9e75d-51ab-4a53-9fc5-222ba2c12524,10,00000000-0000-0000-0000-000000000001,2026-03-20 12:03:08.410054+00,apartment,D
19360a94-bb28-492d-819e-1ce0ae976b4c,null,1da9e75d-51ab-4a53-9fc5-222ba2c12524,10,00000000-0000-0000-0000-000000000001,2026-03-20 12:03:52.405297+00,apartment,A
27681d3d-ceae-4192-b2f3-89625dcb674e,null,1da9e75d-51ab-4a53-9fc5-222ba2c12524,10,00000000-0000-0000-0000-000000000001,2026-03-20 12:03:52.405297+00,apartment,C
478d201f-ea4e-4c22-a8ac-6d2228a2f02c,7917cc13-aaca-4558-a2c2-8be5cd8fc159,9c20c187-fe47-4647-a49b-6825e23b7920,20,00000000-0000-0000-0000-000000000001,2026-03-20 12:03:52.962273+00,issue_type,Internet Issues
68cd44ba-58d1-4f63-a88c-8f84e0c8c3d1,f3614e6e-8394-40cd-bbb3-b1f78e9f17c2,9c20c187-fe47-4647-a49b-6825e23b7920,20,00000000-0000-0000-0000-000000000001,2026-03-20 12:03:52.962273+00,issue_type,Billing Issues
f759a8dd-a7b5-4499-9487-0b13f3d79c14,c5f1c3c0-af88-4c54-9730-ebffed128bc9,9c20c187-fe47-4647-a49b-6825e23b7920,20,00000000-0000-0000-0000-000000000001,2026-03-20 12:03:52.962273+00,issue_type,Kitchen Equipment
