id,organization_id,vendor_name,created_at,bank_name,status,vendor_rating
283a9ea5-289b-59fb-e034-ca34f7a560a1,00000000-0000-0000-0000-000000000001,Sakthi Stabilizer,2026-04-11 00:05:03.700349+00,null,active,null
3910b1e0-ccab-19bc-46fd-9db27cca49c9,00000000-0000-0000-0000-000000000001,Samsung,2026-04-11 00:05:03.700349+00,null,active,null
3a12b402-9dbf-7011-92fc-a69c19fd8bfa,00000000-0000-0000-0000-000000000001,Mohan Electrical Spares,2026-04-11 00:05:03.700349+00,null,active,null
48789fc6-cf5a-d35a-9b99-d0ed571a0a59,00000000-0000-0000-0000-000000000001,Surgup,2026-04-11 00:05:03.700349+00,null,active,null
79a985d3-2a80-a621-387d-58c9da1e3d03,00000000-0000-0000-0000-000000000001,ACCL Technician,2026-04-11 00:05:03.700349+00,null,active,1
7b5cf5c7-e88d-4c15-062c-7f0b01bb35dc,00000000-0000-0000-0000-000000000001,ACCL Vendor,2026-04-11 00:05:03.700349+00,null,active,null
86156583-1545-afb6-8057-b15adeaa3045,00000000-0000-0000-0000-000000000001,Urban,2026-04-11 00:05:03.700349+00,null,active,null
86162c70-5f92-209e-6857-bc3aca624abf,00000000-0000-0000-0000-000000000001,SSS Customer Care,2026-04-11 00:05:03.700349+00,null,active,null
956372f6-d6cd-850a-0804-da140b1feb80,00000000-0000-0000-0000-000000000001,VJ Cooling System,2026-04-11 00:05:03.700349+00,null,active,null
a2207b61-2b51-4ffe-af9a-e9dba33b5e56,00000000-0000-0000-0000-000000000001,RO Water Purifier,2026-04-11 00:05:03.700349+00,null,active,null
b73eacb5-4545-7071-7a9b-5b7536142326,00000000-0000-0000-0000-000000000001,R Moorthy Computer Key Shop,2026-04-11 00:05:03.700349+00,null,active,null
bcf2c597-36e2-30a6-fdd2-7df32dba4544,00000000-0000-0000-0000-000000000001,Wiretech,2026-04-11 00:05:03.700349+00,null,active,null
