id,organization_id,vendor_name,created_at,bank_name,status,vendor_rating
6afd6acf-2cf1-410d-b74e-2d7fa6159f33,00000000-0000-0000-0000-000000000001,Shifa Stores,2026-03-17 17:30:54.62693+00,,active,1
df4e3fb8-4557-884d-f82f-c411e8707351,00000000-0000-0000-0000-000000000001,Adyar Aqua House,2026-03-18 10:12:10.45487+00,null,active,null
8347323a-f7d0-9853-0d18-c4a765adc4fe,00000000-0000-0000-0000-000000000001,Mukesh,2026-03-18 10:13:37.994782+00,null,active,null
2a95d64d-1065-4442-0f93-b778ec0dbcb7,00000000-0000-0000-0000-000000000001,Sri Vaibhav Enterprises,2026-03-18 10:14:07.667596+00,null,active,null
58576c3d-c954-33e0-7aaf-e5f03137ee1b,00000000-0000-0000-0000-000000000001,Mrithiga Enterprises,2026-03-18 10:14:37.605922+00,null,active,null
1f1c91d5-56b6-641b-e035-aa2fc4782999,00000000-0000-0000-0000-000000000001,Smart Furniture,2026-03-18 10:15:10.560314+00,BANK OF BARO??,active,null
c97a258e-bf13-8dc4-67fa-a8c1c8d0be04,00000000-0000-0000-0000-000000000001,Duroflex Pvt Ltd,2026-03-18 10:15:47.617548+00,null,active,null
70867748-0c93-da0a-ed78-a6a3d4a605c7,00000000-0000-0000-0000-000000000001,Online Purchase,2026-03-18 10:23:05.825931+00,null,active,null
8182e6d1-ca8f-24ba-ec7a-b46b97c28d68,00000000-0000-0000-0000-000000000001,V Care,2026-03-18 10:23:33.477782+00,null,active,null
1d6ea071-72ce-48de-201f-e66b2f897802,00000000-0000-0000-0000-000000000001,LG,2026-03-18 10:24:08.562273+00,null,active,null
a955f0b4-9279-a80c-df59-b74588c36720,00000000-0000-0000-0000-000000000001,Amazon,2026-03-18 10:24:49.268517+00,null,active,null
e4fb2cd3-44b3-8fa8-544a-86e5fde4117c,00000000-0000-0000-0000-000000000001,Madurai Sri Meenaxi,2026-03-18 10:25:19.871822+00,null,active,null
f71c07d6-3e4f-512b-f685-cefb1bf467f8,00000000-0000-0000-0000-000000000001,Sri Raghavendra Electricals,2026-03-18 10:25:55.665055+00,null,active,null
713656fb-1360-aa20-6ee3-1eef68c44d2e,00000000-0000-0000-0000-000000000001,Mohan Elecrrical Spares,2026-03-18 10:26:21.084043+00,null,active,null
168e4482-c2be-b5e2-73ab-99202b92cea9,00000000-0000-0000-0000-000000000001,Cumputer Key shop,2026-03-18 10:26:46.176639+00,null,active,null
baf9f60e-9bbc-fef9-ff95-22f465df07fc,00000000-0000-0000-0000-000000000001,Om Serma Enterprises,2026-03-18 10:27:37.753136+00,null,active,null
d17b6c9b-3f49-3337-2807-b57496fb8409,00000000-0000-0000-0000-000000000001,Babu Traders,2026-03-18 10:28:02.85104+00,null,active,null
e37d0a92-4790-36ab-6412-c74c7c4aafc4,00000000-0000-0000-0000-000000000001,Fashion Electricals,2026-03-18 10:28:27.677588+00,null,active,null
a0e0db9d-b928-5428-bb3c-236c1655bdcf,00000000-0000-0000-0000-000000000001,Sri Arunachla,2026-03-18 10:28:50.94601+00,null,active,null
68b21396-3953-72ee-9fa1-eb28a3d5d3ad,00000000-0000-0000-0000-000000000001,Ambal Trading Company,2026-03-18 10:29:14.605438+00,null,active,null
5cc64ea3-41df-acf6-6348-b4ad21daddfa,00000000-0000-0000-0000-000000000001,Nizam sanitary,2026-03-18 10:29:38.209073+00,null,active,null
3752a5d1-52dc-dd96-f9a2-b05aacb229de,00000000-0000-0000-0000-000000000001,Vasantha Engineering Works,2026-03-18 10:30:14.670472+00,null,active,null
3e231cf4-bb11-1c71-2c8b-a09cc8ace07e,00000000-0000-0000-0000-000000000001,MISCEL,2026-03-18 10:31:28.570892+00,null,active,null
565b54cd-1c00-089b-e65c-6e56b1acc695,00000000-0000-0000-0000-000000000001,Hitachi,2026-03-18 10:31:56.938706+00,null,active,null
66483b84-f39b-43f9-869f-5e94db066c36,00000000-0000-0000-0000-000000000001,S K Electricals,2026-03-26 11:40:14.444409+00,null,active,null
2d7e4247-320b-4e70-bf63-d5213e395f30,00000000-0000-0000-0000-000000000001,Samsang,2026-03-26 11:41:40.375255+00,null,active,null
b2ac2af9-af13-4f61-97b9-7065c0e59c9d,00000000-0000-0000-0000-000000000001,Shivam Agency,2026-03-26 11:43:48.628414+00,null,active,null
05fb8be3-bb02-8bb5-4409-018a6ae188c3,00000000-0000-0000-0000-000000000001,Iyappan,2026-04-11 00:05:03.700349+00,null,active,null
