id,organization_id,name,is_deleted,created_at,updated_at,attendance_exempt
02a737ec-25c8-4f0e-82af-15a6e7d70109,00000000-0000-0000-0000-000000000001,Vista Heights - Tiruvanmiyur,false,2026-07-23 09:06:59.313169+00,2026-07-23 09:06:59.313169+00,false
ab9d6cc9-27ce-4881-b224-f1193ac27876,00000000-0000-0000-0000-000000000001,Office - RRT,false,2026-07-23 09:07:04.602411+00,2026-07-23 09:07:04.602411+00,false
f4257946-9029-47cb-8dba-38f2d1381f4a,00000000-0000-0000-0000-000000000001,Anvastech - RRT,false,2026-07-23 09:07:11.834307+00,2026-07-23 09:07:11.834307+00,false
be15cc49-7870-409d-9eab-a5332cdfa674,00000000-0000-0000-0000-000000000001,Management-Owners,false,2026-07-23 09:09:38.109213+00,2026-07-23 09:09:38.109213+00,true
