organization_id,maintenance_item_id,current_stock,minimum_stock_level,last_purchase_cost
00000000-0000-0000-0000-000000000001,02221e0e-a7fe-4536-891f-c36afc2e411b,0,1,null
00000000-0000-0000-0000-000000000001,02fe6ad6-5834-4be0-a1a1-f5891a586366,0,1,null
00000000-0000-0000-0000-000000000001,03fbeec3-8103-4622-9df5-ab6a977763bb,0,1,50
00000000-0000-0000-0000-000000000001,069cbbc8-a146-487a-92b5-e21ba4459327,0,1,null
00000000-0000-0000-0000-000000000001,0a042464-408b-4593-8808-02245e8b4053,0,1,null
00000000-0000-0000-0000-000000000001,0bb9b930-1acc-47f4-b3a7-bad2e7ab374f,0,1,null
00000000-0000-0000-0000-000000000001,10302ee8-4021-45b3-a81a-586a1e48c2f5,0,1,null
00000000-0000-0000-0000-000000000001,104c409f-72c3-4569-9f20-250a07c28f27,0,1,8001500
00000000-0000-0000-0000-000000000001,122c4530-56f0-4545-887b-9cb54ead6737,0,1,null
00000000-0000-0000-0000-000000000001,1dc37641-9cbc-4709-aa1b-f3a03beaccbe,0,1,null
00000000-0000-0000-0000-000000000001,1e84f1a7-c1f7-49a5-b980-5d6abea6212c,0,1,null
00000000-0000-0000-0000-000000000001,2383da80-d1b0-46ca-961f-65781801e912,0,1,null
00000000-0000-0000-0000-000000000001,2c334f29-895e-4c3b-a26a-b68cc4ec9f39,0,1,300
00000000-0000-0000-0000-000000000001,2e8816cc-5f12-43c9-b0d7-b384411e7b8a,0,1,null
00000000-0000-0000-0000-000000000001,2e8a8ca4-50a3-42ce-8b82-6bc35c11f676,0,1,null
00000000-0000-0000-0000-000000000001,346b4e19-a7cc-47cb-9f7f-67b87102aabc,0,1,null
00000000-0000-0000-0000-000000000001,386a2645-0713-48d7-bbd5-3611ceea7ed5,0,0,null
00000000-0000-0000-0000-000000000001,39af66a8-12da-4448-89f6-22f581ae1222,0,1,null
00000000-0000-0000-0000-000000000001,3a022402-d6e3-400c-9a84-3f3fdd60e5a7,0,1,null
00000000-0000-0000-0000-000000000001,3b9fb2fb-d5f2-434f-ac07-966cf5e7e069,0,1,800
00000000-0000-0000-0000-000000000001,3e9cc995-680e-4ceb-825a-3038492e4e9b,0,1,null
00000000-0000-0000-0000-000000000001,3eb7e52b-9daf-44e3-beae-6803886d966e,0,1,null
00000000-0000-0000-0000-000000000001,416ae956-a87b-4554-a9ac-16e6f5042a2c,0,1,null
00000000-0000-0000-0000-000000000001,4777ef9f-ee12-4754-b3dc-4ca9d76b518f,0,1,null
00000000-0000-0000-0000-000000000001,4a51368b-5efa-4531-881a-e60e893e75b0,0,1,10002500
00000000-0000-0000-0000-000000000001,4aba0e25-cd83-4232-9aff-4e460c28c343,0,1,null
00000000-0000-0000-0000-000000000001,54b74e30-c21b-488e-bacc-daeb615d5242,0,1,null
00000000-0000-0000-0000-000000000001,565d9154-8d7d-41b8-899a-ee035770c247,0,1,null
00000000-0000-0000-0000-000000000001,574e509f-4856-450b-b1a2-8a87f7a7973c,0,1,null
00000000-0000-0000-0000-000000000001,5ac3f1c5-d381-43db-b524-37f5ef0736f2,0,1,null
00000000-0000-0000-0000-000000000001,60e90280-47b4-4b5d-9bdc-f2017a61e250,0,1,null
00000000-0000-0000-0000-000000000001,6224027b-f704-4462-970a-68aa3396b9ee,0,1,855
00000000-0000-0000-0000-000000000001,62a7ea2a-2c38-4158-9c16-1b98f3c98884,0,1,null
00000000-0000-0000-0000-000000000001,63948f8c-83fb-49a2-b537-a4b25f4e88f8,0,1,null
00000000-0000-0000-0000-000000000001,655e09f7-54bd-4ff9-8159-f6fe80982a75,0,1,null
00000000-0000-0000-0000-000000000001,69b9f30d-824c-4721-ac8b-2c77a1986e82,0,1,null
00000000-0000-0000-0000-000000000001,6ce2a34f-3500-40a1-9a52-aac4ae5e2281,0,0,19
00000000-0000-0000-0000-000000000001,6de44190-06ed-486e-a295-63b120130386,0,1,null
00000000-0000-0000-0000-000000000001,6f565b04-f730-448b-8e6a-1016d468c8ec,0,1,null
00000000-0000-0000-0000-000000000001,6f762b7b-5f4c-4906-a8e8-999fd27d1ccf,0,1,null
00000000-0000-0000-0000-000000000001,77513902-5d2c-4be3-a287-e2a0a5772f1c,0,0,28
00000000-0000-0000-0000-000000000001,78b46408-be66-4d4d-80ce-4caccdd456a4,0,1,null
00000000-0000-0000-0000-000000000001,78d44c1b-6a42-4b8d-9883-cb56817ea6f8,0,1,null
