organization_id,account_code,account_name,account_type,normal_balance,total_debit,total_credit,balance
00000000-0000-0000-0000-000000000001,1120,Bank - Operating Account,ASSET,DEBIT,81839404.52,13148415.90,68690988.62
00000000-0000-0000-0000-000000000001,1200,Accounts Receivable - Tenants,ASSET,DEBIT,84198351.45,84115053.60,83297.85
00000000-0000-0000-0000-000000000001,1500,Property Assets,ASSET,DEBIT,1400834.76,0.00,1400834.76
00000000-0000-0000-0000-000000000001,2100,Tenant Deposits Held,LIABILITY,CREDIT,7513844.00,11734994.00,-4221150.00
00000000-0000-0000-0000-000000000001,2200,Owner Rent Payable,LIABILITY,CREDIT,3488625.00,16121000.00,-12632375.00
00000000-0000-0000-0000-000000000001,2500,Accounts Payable - Vendors,LIABILITY,CREDIT,0.00,1400834.76,-1400834.76
00000000-0000-0000-0000-000000000001,4100,Rental Income,INCOME,CREDIT,49657.00,64982502.49,-64932845.49
00000000-0000-0000-0000-000000000001,4200,Electricity Income,INCOME,CREDIT,2465.00,6629429.98,-6626964.98
00000000-0000-0000-0000-000000000001,4250,Guest Stay Income,INCOME,CREDIT,0.00,122489.00,-122489.00
00000000-0000-0000-0000-000000000001,4300,Onboarding Fees,INCOME,CREDIT,0.00,321000.00,-321000.00
00000000-0000-0000-0000-000000000001,4400,Late Fees,INCOME,CREDIT,0.00,2600.00,-2600.00
00000000-0000-0000-0000-000000000001,4500,Exit Charges Income,INCOME,CREDIT,0.00,265105.00,-265105.00
00000000-0000-0000-0000-000000000001,4900,Other Income,INCOME,CREDIT,232000.83,666589.79,-434588.96
00000000-0000-0000-0000-000000000001,5100,Owner Rent Expense,EXPENSE,DEBIT,19019250.00,0.00,19019250.00
00000000-0000-0000-0000-000000000001,5150,Electricity Payments,EXPENSE,DEBIT,1030618.00,0.00,1030618.00
00000000-0000-0000-0000-000000000001,5210,Maintenance - Plumbing,EXPENSE,DEBIT,1290.00,0.00,1290.00
00000000-0000-0000-0000-000000000001,5220,Maintenance - Electrical,EXPENSE,DEBIT,12010.00,0.00,12010.00
00000000-0000-0000-0000-000000000001,5230,Maintenance - Carpentry,EXPENSE,DEBIT,559.00,0.00,559.00
00000000-0000-0000-0000-000000000001,5240,Maintenance - Appliances,EXPENSE,DEBIT,45835.00,0.00,45835.00
00000000-0000-0000-0000-000000000001,5260,Maintenance - HVAC,EXPENSE,DEBIT,579741.00,0.00,579741.00
00000000-0000-0000-0000-000000000001,5290,Maintenance - Other,EXPENSE,DEBIT,37601.00,0.00,37601.00
00000000-0000-0000-0000-000000000001,5630,Bank Charges & CC Fees,EXPENSE,DEBIT,2698.52,8767.56,-6069.04
00000000-0000-0000-0000-000000000001,5800,Marketing & Tenant Acquisition,EXPENSE,DEBIT,24658.00,27.00,24631.00
00000000-0000-0000-0000-000000000001,5900,Other Expenses,EXPENSE,DEBIT,39366.00,0.00,39366.00
