from_surface,metric_id,to_surface,permitted,preserves_metric,preserves_period,preserves_dimensions,trust_gate_applies,next_levels,blocked_reason
metric_detail,M.LIFE.002,breakdown:tenant_id,True,True,True,True,True,detail;evidence,
owner_home,M.LIFE.003,metric_detail,True,True,True,True,True,trend;breakdown;detail;evidence,
metric_detail,M.LIFE.003,breakdown:allotment_id,True,True,True,True,True,detail;evidence,
metric_detail,M.LIFE.003,breakdown:bed_id,True,True,True,True,True,detail;evidence,
metric_detail,M.LIFE.003,breakdown:month,True,True,True,True,True,detail;evidence,
metric_detail,M.LIFE.003,breakdown:tenant_id,True,True,True,True,True,detail;evidence,
owner_home,M.MAINT.001,metric_detail,True,True,True,True,True,trend;breakdown;detail;evidence,
metric_detail,M.MAINT.001,breakdown:allotment_id,True,True,True,True,True,detail;evidence,
metric_detail,M.MAINT.001,breakdown:bed_id,True,True,True,True,True,detail;evidence,
metric_detail,M.MAINT.001,breakdown:month,True,True,True,True,True,detail;evidence,
metric_detail,M.MAINT.001,breakdown:tenant_id,True,True,True,True,True,detail;evidence,
owner_home,M.EB.001,metric_detail,True,True,True,True,True,trend;breakdown;detail;evidence,
metric_detail,M.EB.001,breakdown:allotment_id,True,True,True,True,True,detail;evidence,
metric_detail,M.EB.001,breakdown:bed_id,True,True,True,True,True,detail;evidence,
metric_detail,M.EB.001,breakdown:month,True,True,True,True,True,detail;evidence,
metric_detail,M.EB.001,breakdown:tenant_id,True,True,True,True,True,detail;evidence,
owner_home,M.RISK.004,metric_detail,True,True,True,True,True,trend;breakdown;detail;evidence,
metric_detail,M.RISK.004,breakdown:allotment_id,True,True,True,True,True,detail;evidence,
metric_detail,M.RISK.004,breakdown:bed_id,True,True,True,True,True,detail;evidence,
metric_detail,M.RISK.004,breakdown:tenant_id,True,True,True,True,True,detail;evidence,
owner_home,M.RISK.005,metric_detail,True,True,True,True,True,trend;breakdown;detail;evidence,
metric_detail,M.RISK.005,breakdown:allotment_id,True,True,True,True,True,detail;evidence,
metric_detail,M.RISK.005,breakdown:bed_id,True,True,True,True,True,detail;evidence,
metric_detail,M.RISK.005,breakdown:month,True,True,True,True,True,detail;evidence,
metric_detail,M.RISK.005,breakdown:tenant_id,True,True,True,True,True,detail;evidence,
owner_home,M.RISK.007,metric_detail,True,True,True,True,True,trend;breakdown;detail;evidence,
metric_detail,M.RISK.007,breakdown:allotment_id,True,True,True,True,True,detail;evidence,
metric_detail,M.RISK.007,breakdown:bed_id,True,True,True,True,True,detail;evidence,
metric_detail,M.RISK.007,breakdown:tenant_id,True,True,True,True,True,detail;evidence,
owner_home,M.RISK.008,metric_detail,True,True,True,True,True,trend;breakdown;detail;evidence,
metric_detail,M.RISK.008,breakdown:allotment_id,True,True,True,True,True,detail;evidence,
metric_detail,M.RISK.008,breakdown:bed_id,True,True,True,True,True,detail;evidence,
metric_detail,M.RISK.008,breakdown:tenant_id,True,True,True,True,True,detail;evidence,
