table_schema,table_name,ordinal_position,column_name,data_type,total_rows,non_null_rows,distinct_values
market,org_tracked_localities,2,organization_id,uuid,5,5,1
market,org_tracked_localities,3,locality_id,uuid,5,5,5
market,org_tracked_localities,4,is_active,boolean,5,5,1
market,org_tracked_localities,5,created_at,timestamp with time zone,5,5,5
market,org_tracked_localities,6,city_wide_scan,boolean,5,5,1
market,property_embeddings,1,competitor_id,uuid,0,0,0
market,property_embeddings,2,organization_id,uuid,0,0,0
market,property_embeddings,3,embedding,vector(768),0,0,0
market,property_embeddings,4,content_hash,text,0,0,0
market,property_embeddings,5,updated_at,timestamp with time zone,0,0,0
market,review_embeddings,1,review_id,uuid,0,0,0
market,review_embeddings,2,organization_id,uuid,0,0,0
market,review_embeddings,3,embedding,vector(768),0,0,0
market,review_embeddings,4,updated_at,timestamp with time zone,0,0,0
market,scrape_sources,1,id,uuid,4,4,4
market,scrape_sources,2,key,text,4,4,4
market,scrape_sources,3,name,text,4,4,4
market,scrape_sources,4,base_url,text,4,4,4
market,scrape_sources,5,is_active,boolean,4,4,1
market,scrape_sources,6,config,jsonb,4,4,1
market,scrape_sources,7,created_at,timestamp with time zone,4,4,2
public,accounting_migration_log,1,id,uuid,30,30,30
public,accounting_migration_log,2,phase,text,30,30,15
public,accounting_migration_log,3,severity,text,30,30,2
public,accounting_migration_log,4,message,text,30,30,19
public,accounting_migration_log,5,payload,jsonb,30,30,24
public,accounting_migration_log,6,sql_state,text,30,15,1
public,accounting_migration_log,7,created_at,timestamp with time zone,30,30,11
public,accounting_periods,1,organization_id,uuid,0,0,0
public,accounting_periods,2,period,text,0,0,0
public,accounting_periods,3,status,text,0,0,0
public,accounting_periods,4,closed_at,timestamp with time zone,0,0,0
public,accounting_periods,5,closed_by,uuid,0,0,0
public,accounting_periods,6,notes,text,0,0,0
public,ai_actions,1,id,uuid,7,7,7
public,ai_actions,2,user_id,uuid,7,7,1
public,ai_actions,3,organization_id,uuid,7,7,1
public,ai_actions,4,session_id,uuid,7,3,2
public,ai_actions,5,action,text,7,7,3
public,ai_actions,6,payload,jsonb,7,7,7
public,ai_actions,7,result,jsonb,7,7,6
public,ai_actions,8,status,text,7,7,2
public,ai_actions,9,error_message,text,7,3,2
public,ai_actions,10,created_at,timestamp with time zone,7,7,7
public,ai_logs,1,id,uuid,6765,6765,6765
public,ai_logs,2,request_type,text,6765,6765,7
public,ai_logs,3,model,text,6765,6765,3
public,ai_logs,4,latency_ms,integer,6765,6765,3094
public,ai_logs,5,success,boolean,6765,6765,2
public,ai_logs,6,error_message,text,6765,1787,159
public,ai_logs,7,metadata,jsonb,6765,6765,25
public,ai_logs,8,prompt_excerpt,text,6765,4969,528
public,ai_logs,9,response_excerpt,text,6765,4969,4667
public,ai_logs,10,redaction_level,text,6765,6765,2
public,ai_logs,11,created_at,timestamp with time zone,6765,6765,6765
public,ai_sessions,1,id,uuid,14,14,14
public,ai_sessions,2,user_id,uuid,14,14,3
public,ai_sessions,3,organization_id,uuid,14,14,1
public,ai_sessions,4,status,text,14,14,3
public,ai_sessions,5,pending_action,text,14,7,3
public,ai_sessions,6,collected_data,jsonb,14,14,10
public,ai_sessions,7,missing_fields,jsonb,14,14,5
public,ai_sessions,8,last_plan,jsonb,14,2,2
public,ai_sessions,9,conversation,jsonb,14,14,14
public,ai_sessions,10,disambiguation_candidates,jsonb,14,1,1
public,ai_sessions,11,created_at,timestamp with time zone,14,14,14
public,ai_sessions,12,updated_at,timestamp with time zone,14,14,14
public,announcements,1,id,uuid,1,1,1
public,announcements,2,organization_id,uuid,1,1,1
public,announcements,3,title,text,1,1,1
public,announcements,4,content,text,1,1,1
public,announcements,5,priority,text,1,1,1
public,announcements,6,is_published,boolean,1,1,1
public,announcements,7,published_at,timestamp with time zone,1,0,0
public,announcements,8,created_by,uuid,1,1,1
public,announcements,9,created_at,timestamp with time zone,1,1,1
public,announcements,10,updated_at,timestamp with time zone,1,1,1
public,announcements,11,image_url,text,1,0,0
public,apartments,1,id,uuid,43,43,43
public,apartments,2,organization_id,uuid,43,43,1
public,apartments,3,property_id,uuid,43,43,1
public,apartments,4,apartment_code,text,43,43,42
public,apartments,5,floor_number,integer,43,42,4
public,apartments,6,status,entity_status,43,43,2
public,apartments,7,created_at,timestamp with time zone,43,43,5
public,apartments,8,apartment_type,text,43,41,3
public,apartments,9,size_sqft,numeric,43,40,5
public,apartments,10,owner_id,uuid,43,1,1
public,apartments,11,gender_allowed,text,43,43,4
public,apartments,12,eb_meter_number,text,43,39,35
public,apartments,13,start_date,date,43,43,13
public,apartments,14,end_date,date,43,38,11
public,apartments,15,signing_date,date,43,2,1
public,apartments,16,property_tax_id,text,43,39,37
public,apartments,17,property_tax_amount,numeric,43,43,10
public,apartments,18,property_tax_frequency,text,43,43,2
public,apartments,19,water_tax_id,text,43,40,38
public,apartments,20,water_tax_amount,numeric,43,43,4
public,apartments,21,water_tax_frequency,text,43,43,2
public,apartments,22,ownership_doc_url,text,43,0,0
public,apartments,23,eb_card_number,text,43,0,0
public,apartments,24,eb_consumer_number,text,43,0,0
public,apartments,25,eb_connection_type,text,43,43,2
public,apartments,26,eb_sanctioned_load,numeric,43,43,1
public,apartments,27,eb_card_photo_url,text,43,0,0
public,apartments,28,star_rating,integer,43,1,1
public,apartments,29,star_rating_override,boolean,43,43,2
public,asset_allocations,1,id,uuid,1822,1822,1822
public,asset_allocations,2,organization_id,uuid,1822,1822,1
public,asset_allocations,3,asset_id,uuid,1822,1822,1528
public,asset_allocations,4,allocation_type,text,1822,1822,2
public,asset_allocations,5,property_id,uuid,1822,1822,1
public,asset_allocations,6,apartment_id,uuid,1822,1821,35
public,asset_allocations,7,bed_id,uuid,1822,1223,176
public,asset_allocations,8,allocated_date,date,1822,1822,41
public,asset_allocations,9,allocated_by,uuid,1822,0,0
public,asset_allocations,10,created_at,timestamp with time zone,1822,1822,4
public,asset_brands,1,id,uuid,50,50,50
public,asset_brands,2,name,text,50,50,50
public,asset_brands,3,organization_id,uuid,50,50,1
public,asset_brands,4,created_at,timestamp with time zone,50,50,2
public,asset_categories,1,id,uuid,11,11,11
public,asset_categories,2,organization_id,uuid,11,11,1
public,asset_categories,3,name,text,11,11,11
public,asset_categories,4,created_at,timestamp with time zone,11,11,4
public,asset_depreciation,1,id,uuid,0,0,0
public,asset_depreciation,2,asset_id,uuid,0,0,0
public,asset_depreciation,3,purchase_price,"numeric(10,2)",0,0,0
public,asset_depreciation,4,residual_value,"numeric(10,2)",0,0,0
public,asset_depreciation,5,useful_life_years,"numeric(5,2)",0,0,0
public,asset_depreciation,6,current_book_value,"numeric(10,2)",0,0,0
public,asset_depreciation,7,yearly_depreciation,"numeric(10,2)",0,0,0
public,asset_depreciation,8,last_calculated,timestamp with time zone,0,0,0
public,asset_depreciation,9,organization_id,uuid,0,0,0
public,asset_maintenance_logs,1,id,uuid,0,0,0
public,asset_maintenance_logs,2,organization_id,uuid,0,0,0
public,asset_maintenance_logs,3,asset_id,uuid,0,0,0
public,asset_maintenance_logs,4,maintenance_type,text,0,0,0
public,asset_maintenance_logs,5,issue,text,0,0,0
public,asset_maintenance_logs,6,repair_cost,"numeric(10,2)",0,0,0
public,asset_maintenance_logs,7,vendor,text,0,0,0
public,asset_maintenance_logs,8,maintenance_date,date,0,0,0
public,asset_maintenance_logs,9,next_service_due,date,0,0,0
public,asset_maintenance_logs,10,created_at,timestamp with time zone,0,0,0
public,asset_movements,1,id,uuid,0,0,0
public,asset_movements,2,organization_id,uuid,0,0,0
public,asset_movements,3,asset_id,uuid,0,0,0
public,asset_movements,4,from_location,text,0,0,0
public,asset_movements,5,to_location,text,0,0,0
public,asset_movements,6,moved_by,uuid,0,0,0
public,asset_movements,7,move_date,date,0,0,0
public,asset_movements,8,reason,text,0,0,0
public,asset_movements,9,created_at,timestamp with time zone,0,0,0
public,asset_payments,1,id,uuid,0,0,0
public,asset_payments,2,organization_id,uuid,0,0,0
public,asset_payments,3,asset_id,uuid,0,0,0
public,asset_payments,4,vendor_id,uuid,0,0,0
public,asset_payments,5,payment_date,date,0,0,0
public,asset_payments,6,amount,"numeric(14,2)",0,0,0
public,asset_payments,7,payment_mode,text,0,0,0
public,asset_payments,8,bank_account_id,uuid,0,0,0
public,asset_payments,9,reference_number,text,0,0,0
public,asset_payments,10,payment_proof_url,text,0,0,0
public,asset_payments,11,notes,text,0,0,0
public,asset_payments,12,created_at,timestamp with time zone,0,0,0
public,asset_payments,13,created_by,uuid,0,0,0
public,asset_types,1,id,uuid,34,34,34
public,asset_types,2,organization_id,uuid,34,34,1
public,asset_types,3,category_id,uuid,34,34,7
public,asset_types,4,name,text,34,34,34
public,asset_types,5,expected_life_months,integer,34,29,6
public,asset_types,6,depreciation_method,text,34,34,1
public,asset_types,7,depreciation_years,"numeric(5,2)",34,28,6
public,asset_types,8,maintenance_cycle_months,integer,34,28,3
public,asset_types,9,replacement_cost_estimate,"numeric(10,2)",34,28,16
public,asset_types,10,created_at,timestamp with time zone,34,34,7
public,assets,1,id,uuid,1700,1700,1700
public,assets,2,organization_id,uuid,1700,1700,1
public,assets,3,asset_type_id,uuid,1700,1700,26
public,assets,4,asset_code,text,1700,1700,1700
public,assets,5,qr_code,text,1700,0,0
public,assets,6,serial_number,text,1700,250,238
public,assets,7,brand,text,1700,344,34
public,assets,8,model,text,1700,549,144
public,assets,9,purchase_date,date,1700,308,61
public,assets,10,purchase_price,"numeric(10,2)",1700,308,46
public,assets,11,supplier_id,uuid,1700,392,7
public,assets,12,warranty_months,integer,1700,1,1
public,assets,13,warranty_expiry,date,1700,1,1
public,assets,14,condition,text,1700,1700,2
public,assets,15,status,text,1700,1700,2
public,assets,16,notes,text,1700,231,48
public,assets,17,created_at,timestamp with time zone,1700,1700,4
public,assets,18,invoice_number,text,1700,286,63
public,assets,19,invoice_date,date,1700,308,61
public,assets,20,invoice_url,text,1700,219,43
public,assets,21,vendor_name_manual,text,1700,430,16
public,assets,22,capacity_value,text,1700,124,43
public,assets,23,capacity_unit,text,1700,0,0
public,assets,24,product_photo_url,text,1700,0,0
public,assets,27,apartment_id,uuid,1700,0,0
public,assets,28,bed_id,uuid[],1700,0,0
public,assets,29,is_bill_missing,boolean,1700,1700,2
public,assets,30,data_source,text,1700,1700,1
public,assets,31,migration_notes,text,1700,0,0
public,attendance_logs,1,id,uuid,0,0,0
public,attendance_logs,2,employee_id,uuid,0,0,0
public,attendance_logs,3,company_id,uuid,0,0,0
public,attendance_logs,4,date,date,0,0,0
public,attendance_logs,5,check_in_time,text,0,0,0
public,attendance_logs,6,check_out_time,text,0,0,0
public,attendance_logs,7,status,text,0,0,0
public,attendance_logs,8,hours_worked,"numeric(5,2)",0,0,0
public,attendance_logs,9,overtime_hours,"numeric(5,2)",0,0,0
public,attendance_logs,10,late_minutes,integer,0,0,0
public,attendance_logs,11,bonus,"numeric(12,2)",0,0,0
public,attendance_logs,12,total_deduction_percent,"numeric(5,2)",0,0,0
public,attendance_logs,13,notes,text,0,0,0
public,attendance_logs,14,edit_reason,text,0,0,0
public,attendance_logs,15,edited_by,uuid,0,0,0
public,attendance_logs,16,source,text,0,0,0
public,attendance_logs,17,marked_by,text,0,0,0
public,attendance_logs,18,check_in_image_account,text,0,0,0
public,attendance_logs,19,check_out_image_account,text,0,0,0
public,attendance_logs,20,check_in_device_id,text,0,0,0
public,attendance_logs,21,check_out_device_id,text,0,0,0
public,attendance_logs,22,extended_checkout_time,text,0,0,0
public,attendance_logs,23,shift_id,uuid,0,0,0
public,attendance_logs,24,created_at,timestamp with time zone,0,0,0
public,attendance_sync,1,id,uuid,50,50,50
public,attendance_sync,2,record_id,text,50,50,50
public,attendance_sync,3,employee_name,text,50,50,13
public,attendance_sync,4,employee_email,text,50,50,13
public,attendance_sync,5,department,text,50,50,5
public,attendance_sync,6,date,date,50,50,14
public,attendance_sync,7,check_in_time,time without time zone,50,50,43
public,attendance_sync,8,check_out_time,time without time zone,50,20,20
public,attendance_sync,9,status,text,50,50,2
public,attendance_sync,10,hours_worked,numeric,50,16,15
public,attendance_sync,11,notes,text,50,1,1
public,attendance_sync,12,synced_at,timestamp with time zone,50,50,3
public,attendance_sync,13,created_at,timestamp with time zone,50,50,9
public,audit_logs,1,id,uuid,3119,3119,3119
public,audit_logs,2,organization_id,uuid,3119,3119,1
public,audit_logs,3,table_name,text,3119,3119,28
public,audit_logs,4,record_id,uuid,3119,3119,2374
public,audit_logs,5,action,text,3119,3119,12
public,audit_logs,6,changes,jsonb,3119,3119,2064
public,audit_logs,7,performed_by,uuid,3119,2650,13
public,audit_logs,8,performed_at,timestamp with time zone,3119,3119,3119
public,audit_logs,9,old_value,jsonb,3119,3119,62
public,audit_logs,10,new_value,jsonb,3119,3119,125
public,bed_rates,1,id,uuid,24,24,24
public,bed_rates,2,organization_id,uuid,24,24,1
public,bed_rates,3,property_id,uuid,24,24,1
public,bed_rates,4,bed_type,bed_type,24,24,4
public,bed_rates,5,toilet_type,toilet_type,24,24,2
public,bed_rates,6,monthly_rate,"numeric(10,2)",24,24,12
public,bed_rates,7,from_date,date,24,24,4
public,bed_rates,8,to_date,date,24,24,4
public,bed_rates,9,created_at,timestamp with time zone,24,24,2
public,bed_status_history,1,id,uuid,0,0,0
public,bed_status_history,2,bed_id,uuid,0,0,0
public,bed_status_history,3,status,text,0,0,0
public,bed_status_history,4,from_date,date,0,0,0
public,bed_status_history,5,to_date,date,0,0,0
public,bed_status_history,6,notes,text,0,0,0
public,bed_status_history,7,organization_id,uuid,0,0,0
public,bed_status_history,8,created_at,timestamp with time zone,0,0,0
public,bed_type_config,1,id,uuid,0,0,0
public,bed_type_config,2,name,text,0,0,0
public,bed_type_config,3,organization_id,uuid,0,0,0
public,bed_type_config,4,sort_order,integer,0,0,0
public,bed_type_config,5,created_at,timestamp with time zone,0,0,0
public,beds,1,id,uuid,203,203,203
public,beds,2,organization_id,uuid,203,203,1
public,beds,3,apartment_id,uuid,203,203,38
public,beds,4,bed_code,text,203,203,16
public,beds,5,bed_type,bed_type,203,203,4
public,beds,6,toilet_type,toilet_type,203,203,2
public,beds,7,status,entity_status,203,203,2
public,beds,8,created_at,timestamp with time zone,203,203,17
public,beds,9,bed_lifecycle_status,text,203,203,3
public,bot_conversations,1,phone,text,9,9,9
public,bot_conversations,2,transcript,jsonb,9,9,9
public,bot_conversations,3,updated_at,timestamp with time zone,9,9,9
public,coa_accounts,1,id,uuid,57,57,57
public,coa_accounts,2,organization_id,uuid,57,57,1
public,coa_accounts,3,code,text,57,57,57
public,coa_accounts,4,name,text,57,57,57
public,coa_accounts,5,account_type,account_type,57,57,5
public,coa_accounts,6,normal_balance,normal_balance,57,57,2
public,coa_accounts,7,parent_id,uuid,57,52,11
public,coa_accounts,8,is_active,boolean,57,57,1
