entry_date,period,source_table,entry_description,is_reversal,line_no,account_code,account_name,account_type,debit,credit,party_kind,memo
2026-09-20,2026-09,invoices,Invoice VISTA/26-27/09/00002,false,1,1200,Accounts Receivable - Tenants,ASSET,2250.00,0.00,tenant,Exit charges VISTA/26-27/09/00002
2026-09-20,2026-09,invoices,Invoice VISTA/26-27/09/00002,false,2,4500,Exit Charges Income,INCOME,0.00,2250.00,null,Exit charges
2026-09-06,2026-09,invoices,Invoice VISTA/26-27/09/00001,false,1,1200,Accounts Receivable - Tenants,ASSET,2250.00,0.00,tenant,Exit charges VISTA/26-27/09/00001
2026-09-06,2026-09,invoices,Invoice VISTA/26-27/09/00001,false,2,4500,Exit Charges Income,INCOME,0.00,2250.00,null,Exit charges
2026-08-31,2026-08,invoices,Invoice VISTA/26-27/08/00203,false,1,1200,Accounts Receivable - Tenants,ASSET,468.00,0.00,tenant,VISTA/26-27/08/00203 (2026-08)
2026-08-31,2026-08,invoices,Invoice VISTA/26-27/08/00203,false,2,4100,Rental Income,INCOME,0.00,468.00,null,Rent 2026-08
2026-08-28,2026-08,receipts,Onboarding Charges Received,false,1,1200,Accounts Receivable - Tenants,ASSET,1000.00,0.00,tenant,Onboarding Charges Received
2026-08-28,2026-08,receipts,Onboarding Charges Received,false,2,4300,Onboarding Fees,INCOME,0.00,1000.00,null,Onboarding Charges Received
2026-08-28,2026-08,receipts,Payment Received - VISTA/26-27/08/00089,false,1,1120,Bank - Operating Account,ASSET,1000.00,0.00,null,Receipt No: VISTA/26-27/08/00089
2026-08-28,2026-08,receipts,Payment Received - VISTA/26-27/08/00089,false,2,1200,Accounts Receivable - Tenants,ASSET,0.00,1000.00,tenant,Receipt No: VISTA/26-27/08/00089
2026-08-27,2026-08,receipts,Payment Received - VISTA/26-27/08/R00205,false,1,1120,Bank - Operating Account,ASSET,17825.00,0.00,null,VISTA/26-27/08/R00205 UPI
2026-08-27,2026-08,receipts,Payment Received - VISTA/26-27/08/R00205,false,2,1200,Accounts Receivable - Tenants,ASSET,0.00,17825.00,tenant,VISTA/26-27/08/R00205 payment to AR
2026-08-26,2026-08,receipts,REVERSAL of Payment Received - VISTA/26-27/08/00084 — receipt edited — reposting,true,1,1120,Bank - Operating Account,ASSET,0.00,39942.00,null,REVERSAL: Receipt No: VISTA/26-27/08/00084
2026-08-26,2026-08,receipts,REVERSAL of Payment Received - VISTA/26-27/08/00084 — receipt edited — reposting,true,2,1200,Accounts Receivable - Tenants,ASSET,39942.00,0.00,tenant,REVERSAL: Receipt No: VISTA/26-27/08/00084
2026-08-26,2026-08,receipts,REVERSAL of Payment Received - VISTA/26-27/08/00084 — receipt edited — reposting,true,3,1200,Accounts Receivable - Tenants,ASSET,0.00,29250.00,tenant,REVERSAL: Deposit Received : VISTA/26-27/08/00084
2026-08-26,2026-08,receipts,REVERSAL of Payment Received - VISTA/26-27/08/00084 — receipt edited — reposting,true,4,2100,Tenant Deposits Held,LIABILITY,29250.00,0.00,tenant,REVERSAL: Deposit Received : VISTA/26-27/08/00084
2026-08-26,2026-08,receipts,Payment Received - VISTA/26-27/08/00090,false,1,1120,Bank - Operating Account,ASSET,22218.00,0.00,null,Receipt No: VISTA/26-27/08/00090
2026-08-26,2026-08,receipts,Payment Received - VISTA/26-27/08/00090,false,2,1200,Accounts Receivable - Tenants,ASSET,0.00,22218.00,tenant,Receipt No: VISTA/26-27/08/00090
2026-08-26,2026-08,receipts,Payment Received - VISTA/26-27/08/00090,false,3,1200,Accounts Receivable - Tenants,ASSET,21750.00,0.00,tenant,Deposit Received : VISTA/26-27/08/00090
2026-08-26,2026-08,receipts,Payment Received - VISTA/26-27/08/00090,false,4,2100,Tenant Deposits Held,LIABILITY,0.00,21750.00,tenant,Deposit Received : VISTA/26-27/08/00090
2026-08-26,2026-08,receipts,Onboarding Charges Received,false,1,1200,Accounts Receivable - Tenants,ASSET,1000.00,0.00,tenant,Onboarding Charges Received
2026-08-26,2026-08,receipts,Onboarding Charges Received,false,2,4300,Onboarding Fees,INCOME,0.00,1000.00,null,Onboarding Charges Received
