settlement_id,settlement_date,status,is_deleted,deposit_amount,total_deductions,source_amount,ledger_amount,difference,entry_count
0c94af13-542d-4d5d-afd4-3b99a63cd14c,2026-05-26,completed,false,45000,0,45000,88566.19,43566.19,3
e94667bf-8747-4109-94ad-6a9977bd0b3a,2026-04-18,completed,false,28500,0,28500,57000.00,28500.00,3
89091842-0a19-47c3-832e-0c63ee907dbc,2026-09-06,pending,false,29250,2250,27000,0,-27000,0
6d5e1b1e-fdf1-4146-bc5a-f2fbc7458cfc,2026-05-22,completed,false,27000,-847,27847,53363.79,25516.79,3
43fab134-1afd-40e8-b3c1-b6ba8bf97237,2026-04-18,completed,false,28500,3750,24750,49500.00,24750.00,3
8a119a0e-0f53-4fae-892b-04a5946cf536,2024-06-27,completed,false,28500,3948,24552,49104.00,24552.00,3
e8fe8cf4-1e2f-490d-bf64-fd2c8c779796,2026-04-18,completed,false,23250,0,23250,46500.00,23250.00,3
7d3f1c92-4099-4480-a95e-bf4c9ccb591d,2026-04-16,completed,false,21750,0,21750,43500.00,21750.00,3
c4ef8913-ce9a-46b2-a444-3c32e481093e,2026-06-01,completed,false,23250,0,23250,44684.73,21434.73,3
1ec02221-8702-410d-ad7a-c6e4fd18984c,2026-09-20,pending,false,23250,2250,21000,0,-21000,0
95630e50-14c1-4c74-901f-fd0524d184bb,2026-05-19,completed,false,23250,1618.8800000000047,21631.119999999995,42097.63,20466.510000000005,3
5da7af29-d7c8-4c80-bbf1-0f173958820e,2026-04-28,completed,false,20400,0,20400,40800.00,20400.00,3
5ab2feb5-3f3b-495a-895d-f69ae232e388,2025-06-07,completed,false,20250,0,20250,40500.00,20250.00,3
5dd69fcb-f9ec-41e5-bc5c-45bb0a16f46d,2026-04-12,completed,false,21750,0,21750,41821.39,20071.39,3
744f4b0c-8a60-41d5-b522-d2526560d432,2026-05-07,completed,false,21750,0,21750,41821.39,20071.39,3
240507aa-ed0c-4848-97d0-145996eadbd9,2026-05-26,completed,false,21750,0,21750,41774.66,20024.66,3
4281005e-6507-4bce-8fd2-03b0069f478b,2026-06-01,completed,false,21750,0,21750,41728.99,19978.99,3
3e181337-e67d-4d67-9291-761c132cc47c,2024-07-04,completed,false,20250,712,19538,39076.00,19538.00,3
455a7a76-46e0-45f1-b6be-ed1e003755c9,2024-06-27,completed,false,20250,712,19538,39076.00,19538.00,3
bca2e207-d4bc-460f-ab12-6319911a1aad,2024-05-31,completed,false,20250,750,19500,39000.00,19500.00,3
04098a02-8be0-4b1e-8421-87823bf13904,2024-06-27,completed,false,21750,2521,19229,38458.00,19229.00,3
7eeed0ec-75ad-4658-a2ea-acb89edee65e,2026-05-12,completed,false,29250,9769,19481,38612.08,19131.08,3
1d92a2a9-0e80-4b57-b929-1bf2b6811b17,2026-06-01,completed,false,21750,1955,19795,38578.70,18783.70,3
d5141137-a0ad-44d1-bcd4-9121ff11af68,2025-04-13,completed,false,21750,4322,17428,34856.00,17428.00,3
6f962fc4-fb31-45d0-81f6-ffa1500633e5,2026-05-07,completed,false,21750,4529,17221,34366.32,17145.32,3
7df17ab5-5f10-458d-8895-2fc0b1204cd2,2026-05-07,completed,false,21750,4529,17221,34366.32,17145.32,3
b0179c37-8f57-4cb0-918c-9b0d37a7a7a1,2026-05-09,completed,false,20250,3111,17139,34278.00,17139.00,3
877ac705-5098-4771-894b-d73a87fe0333,2024-10-10,completed,false,18900,2250,16650,33300.00,16650.00,3
bb85cf81-f85b-4660-bf31-f2ab54ea8922,2026-05-07,completed,false,21750,6011,15739,31478.00,15739.00,3
4376acab-2cab-4be3-83aa-deb58a7239a1,2026-06-01,completed,false,21750,6598.319999999949,15151.680000000051,30303.36,15151.679999999949,3
e188f5e2-d860-4259-8735-b02f78c25084,2026-08-28,pending,false,42000,27431,14569,0,-14569,0
c8a0c6d3-37ed-4600-885a-01f306d6beb0,2026-05-19,completed,false,27000,14605,12395,24343.48,11948.48,3
472ffe34-0bd5-47d9-b9c9-c0683478e25e,2023-09-05,completed,false,11500,0,11500,23000.00,11500.00,3
f362aa9f-7407-4e53-8d7a-9710399b424a,2025-10-03,completed,false,12000,2537,9463,18926.00,9463.00,3
d1617e3a-c50c-4ee2-bd49-01f1fecc9d88,2026-04-16,completed,false,20250,10796,9454,18908.00,9454.00,3
2ac36d42-9e1a-409b-b01d-628e7aae4f0a,2025-08-09,completed,false,21750,12977,8773,17546.00,8773.00,3
59831d15-f6c9-47ed-b6bb-770952a7ad80,2024-04-27,completed,false,20250,12863,7387,14774.00,7387.00,3
9be4cd52-8c87-4a58-89fc-017f9f694aa8,2026-06-25,completed,false,29250,-7188,36438,29250.00,-7188.00,1
ed56c73a-cae3-42ae-8463-f29e85f01efa,2026-03-22,completed,false,21750,15140,6610,13220.00,6610.00,3
9dc62d83-2d1e-4ab2-aa12-d551007e54f6,2026-06-01,completed,false,22500,20490,2010,3825.54,1815.54,3
745d1086-e004-4641-ae78-9bbfa0110f35,2026-07-21,completed,false,23250,-834,24084,23250.00,-834.00,1
646f5596-734a-4abb-b0c2-23639529000b,2026-04-04,completed,false,21750,21315,435,870.00,435.00,3
0118f097-0dcb-49e4-a4be-4cc1f9a92d1a,2025-04-14,completed,false,12600.00,10873.43,1727.00,1726.57,-0.43,1
