table_schema,table_name,trigger_name,trigger_function,level,timing,events,enabled,definition
public,tenant_adjustments,trg_adjustment_journal,trg_adjustment_journal_post,ROW,AFTER,"INSERT,DELETE,UPDATE",O,CREATE TRIGGER trg_adjustment_journal AFTER INSERT OR DELETE OR UPDATE ON public.tenant_adjustments FOR EACH ROW EXECUTE FUNCTION trg_adjustment_journal_post()
public,tenant_adjustments,trg_cascade_je_tenant_adjustments,delete_journal_entries_on_source_delete,ROW,AFTER,DELETE,O,CREATE TRIGGER trg_cascade_je_tenant_adjustments AFTER DELETE ON public.tenant_adjustments FOR EACH ROW EXECUTE FUNCTION delete_journal_entries_on_source_delete('tenant_adjustments')
public,tenant_allotments,trg_sync_tenant_status,sync_tenant_staying_status,ROW,AFTER,"INSERT,UPDATE",O,CREATE TRIGGER trg_sync_tenant_status AFTER INSERT OR UPDATE OF staying_status ON public.tenant_allotments FOR EACH ROW EXECUTE FUNCTION sync_tenant_staying_status()
public,tenant_allotments,trg_sync_tenant_status_delete,sync_tenant_staying_status_on_delete,ROW,AFTER,DELETE,O,CREATE TRIGGER trg_sync_tenant_status_delete AFTER DELETE ON public.tenant_allotments FOR EACH ROW EXECUTE FUNCTION sync_tenant_staying_status_on_delete()
public,tenant_notices,trg_validate_notice_exit_date,validate_notice_exit_date,ROW,BEFORE,"INSERT,UPDATE",O,CREATE TRIGGER trg_validate_notice_exit_date BEFORE INSERT OR UPDATE OF exit_date ON public.tenant_notices FOR EACH ROW EXECUTE FUNCTION validate_notice_exit_date()
public,tenants,trg_update_tenant_full_name,update_tenant_full_name,ROW,BEFORE,"INSERT,UPDATE",O,"CREATE TRIGGER trg_update_tenant_full_name BEFORE INSERT OR UPDATE OF first_name, last_name ON public.tenants FOR EACH ROW EXECUTE FUNCTION update_tenant_full_name()"
public,ticket_cost_estimates,update_ticket_cost_estimates_updated_at,update_updated_at_column,ROW,BEFORE,UPDATE,O,CREATE TRIGGER update_ticket_cost_estimates_updated_at BEFORE UPDATE ON public.ticket_cost_estimates FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
public,ticket_resolutions,trg_ticket_resolutions_updated_at,set_updated_at,ROW,BEFORE,UPDATE,O,CREATE TRIGGER trg_ticket_resolutions_updated_at BEFORE UPDATE ON public.ticket_resolutions FOR EACH ROW EXECUTE FUNCTION set_updated_at()
public,tickets,set_ticket_number,generate_ticket_number,ROW,BEFORE,INSERT,O,CREATE TRIGGER set_ticket_number BEFORE INSERT ON public.tickets FOR EACH ROW WHEN ((new.ticket_number IS NULL)) EXECUTE FUNCTION generate_ticket_number()
public,tickets,tickets_updated_at,update_updated_at,ROW,BEFORE,UPDATE,O,CREATE TRIGGER tickets_updated_at BEFORE UPDATE ON public.tickets FOR EACH ROW EXECUTE FUNCTION update_updated_at()
public,whatsapp_payment_submissions,trg_wps_updated_at,wps_set_updated_at,ROW,BEFORE,UPDATE,O,CREATE TRIGGER trg_wps_updated_at BEFORE UPDATE ON public.whatsapp_payment_submissions FOR EACH ROW EXECUTE FUNCTION wps_set_updated_at()
public,whatsapp_send_jobs,update_whatsapp_send_jobs_updated_at,update_updated_at_column,ROW,BEFORE,UPDATE,O,CREATE TRIGGER update_whatsapp_send_jobs_updated_at BEFORE UPDATE ON public.whatsapp_send_jobs FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
