schema_name,routine_name,arguments,return_type,kind,language,security_definer,source_length
public,sparsevec_out,sparsevec,cstring,function,c,false,13
public,gbtreekey32_out,gbtreekey32,cstring,function,c,false,13
public,gbtreekey16_out,gbtreekey16,cstring,function,c,false,13
public,gbtreekey8_out,gbtreekey8,cstring,function,c,false,13
public,gbtreekey4_out,gbtreekey4,cstring,function,c,false,13
public,unaccent_init,internal,internal,function,c,false,13
public,unaccent,text,text,function,c,false,13
public,gtrgm_penalty,"internal, internal, internal",internal,function,c,false,13
public,sparsevec_cmp,"sparsevec, sparsevec",integer,function,c,false,13
public,similarity_op,"text, text",boolean,function,c,false,13
public,gbt_bool_same,"gbtreekey2, gbtreekey2, internal",internal,function,c,false,13
public,gbtreekey16_in,cstring,gbtreekey16,function,c,false,12
public,gbtreekey4_in,cstring,gbtreekey4,function,c,false,12
public,sparsevec_gt,"sparsevec, sparsevec",boolean,function,c,false,12
public,l2_normalize,vector,vector,function,c,false,12
public,sparsevec_lt,"sparsevec, sparsevec",boolean,function,c,false,12
public,gbt_bit_same,"gbtreekey_var, gbtreekey_var, internal",internal,function,c,false,12
public,gbt_oid_same,"gbtreekey8, gbtreekey8, internal",internal,function,c,false,12
public,gbtreekey32_in,cstring,gbtreekey32,function,c,false,12
public,sparsevec_eq,"sparsevec, sparsevec",boolean,function,c,false,12
public,sparsevec_in,"cstring, oid, integer",sparsevec,function,c,false,12
public,gbt_ts_fetch,internal,internal,function,c,false,12
public,sparsevec_le,"sparsevec, sparsevec",boolean,function,c,false,12
public,vector_accum,"double precision[], vector",double precision[],function,c,false,12
public,gbtreekey_var_in,cstring,gbtreekey_var,function,c,false,12
public,gbtreekey8_in,cstring,gbtreekey8,function,c,false,12
public,sparsevec_ge,"sparsevec, sparsevec",boolean,function,c,false,12
public,halfvec_send,halfvec,bytea,function,c,false,12
public,sparsevec_ne,"sparsevec, sparsevec",boolean,function,c,false,12
public,gbt_ts_union,"internal, internal",gbtreekey16,function,c,false,12
public,halfvec_recv,"internal, oid, integer",halfvec,function,c,false,12
public,gbtreekey2_in,cstring,gbtreekey2,function,c,false,12
public,halfvec_sub,"halfvec, halfvec",halfvec,function,c,false,11
public,gtrgm_union,"internal, internal",gtrgm,function,c,false,11
public,l1_distance,"vector, vector",double precision,function,c,false,11
public,halfvec_add,"halfvec, halfvec",halfvec,function,c,false,11
public,halfvec_mul,"halfvec, halfvec",halfvec,function,c,false,11
public,halfvec_cmp,"halfvec, halfvec",integer,function,c,false,11
public,hnswhandler,internal,index_am_handler,function,c,false,11
public,gbt_ts_same,"gbtreekey16, gbtreekey16, internal",internal,function,c,false,11
public,halfvec_avg,double precision[],halfvec,function,c,false,11
public,levenshtein,"text, text",integer,function,c,false,11
public,l2_distance,"vector, vector",double precision,function,c,false,11
public,halfvec_out,halfvec,cstring,function,c,false,11
public,float8_dist,"double precision, double precision",double precision,function,c,false,11
public,float4_dist,"real, real",real,function,c,false,11
public,vector_norm,vector,double precision,function,c,false,11
public,vector_dims,vector,integer,function,c,false,11
public,vector_send,vector,bytea,function,c,false,11
public,vector_recv,"internal, oid, integer",vector,function,c,false,11
public,halfvec_lt,"halfvec, halfvec",boolean,function,c,false,10
public,show_limit,,real,function,c,false,10
public,halfvec_in,"cstring, oid, integer",halfvec,function,c,false,10
public,vector_mul,"vector, vector",vector,function,c,false,10
public,dmetaphone,text,text,function,c,false,10
public,halfvec_eq,"halfvec, halfvec",boolean,function,c,false,10
public,halfvec_ne,"halfvec, halfvec",boolean,function,c,false,10
public,halfvec_ge,"halfvec, halfvec",boolean,function,c,false,10
public,halfvec_gt,"halfvec, halfvec",boolean,function,c,false,10
public,gtrgm_same,"gtrgm, gtrgm, internal",internal,function,c,false,10
public,vector_cmp,"vector, vector",integer,function,c,false,10
public,vector_out,vector,cstring,function,c,false,10
public,vector_add,"vector, vector",vector,function,c,false,10
public,vector_sub,"vector, vector",vector,function,c,false,10
public,similarity,"text, text",real,function,c,false,10
public,difference,"text, text",integer,function,c,false,10
public,vector_avg,double precision[],vector,function,c,false,10
public,halfvec_le,"halfvec, halfvec",boolean,function,c,false,10
public,vector_lt,"vector, vector",boolean,function,c,false,9
public,subvector,"vector, integer, integer",vector,function,c,false,9
public,tstz_dist,"timestamp with time zone, timestamp with time zone",interval,function,c,false,9
public,time_dist,"time without time zone, time without time zone",interval,function,c,false,9
public,metaphone,"text, integer",text,function,c,false,9
public,set_limit,real,real,function,c,false,9
public,int8_dist,"bigint, bigint",bigint,function,c,false,9
public,int4_dist,"integer, integer",integer,function,c,false,9
public,int2_dist,"smallint, smallint",smallint,function,c,false,9
public,date_dist,"date, date",integer,function,c,false,9
public,cash_dist,"money, money",money,function,c,false,9
public,sparsevec,"sparsevec, integer, boolean",sparsevec,function,c,false,9
public,vector_in,"cstring, oid, integer",vector,function,c,false,9
public,gtrgm_out,gtrgm,cstring,function,c,false,9
public,vector_gt,"vector, vector",boolean,function,c,false,9
public,vector_ge,"vector, vector",boolean,function,c,false,9
public,vector_ne,"vector, vector",boolean,function,c,false,9
public,vector_eq,"vector, vector",boolean,function,c,false,9
public,show_trgm,text,text[],function,c,false,9
public,vector_le,"vector, vector",boolean,function,c,false,9
public,oid_dist,"oid, oid",oid,function,c,false,8
public,gtrgm_in,cstring,gtrgm,function,c,false,8
public,ts_dist,"timestamp without time zone, timestamp without time zone",interval,function,c,false,7
public,soundex,text,text,function,c,false,7
public,text_soundex,text,text,function,c,false,7
public,halfvec,"halfvec, integer, boolean",halfvec,function,c,false,7
public,vector,"vector, integer, boolean",vector,function,c,false,6
