table_schema,table_name,ordinal_position,column_name,data_type,base_type_name,type_category,is_nullable,column_default,is_enum,is_array
market,competitor_reviews,2,organization_id,uuid,uuid,U,false,null,false,false
market,competitor_reviews,3,competitor_id,uuid,uuid,U,false,null,false,false
market,competitor_reviews,4,reviewer_name,text,text,S,true,null,false,false
market,competitor_reviews,5,rating,"numeric(3,2)",numeric,N,true,null,false,false
market,competitor_reviews,6,review_text,text,text,S,true,null,false,false
market,competitor_reviews,7,review_date,date,date,D,true,null,false,false
market,competitor_reviews,8,source_review_id,text,text,S,true,null,false,false
market,competitor_reviews,9,scraped_at,timestamp with time zone,timestamptz,D,false,now(),false,false
market,competitor_room_types,1,id,uuid,uuid,U,false,gen_random_uuid(),false,false
market,competitor_room_types,2,organization_id,uuid,uuid,U,false,null,false,false
market,competitor_room_types,3,competitor_id,uuid,uuid,U,false,null,false,false
market,competitor_room_types,4,label,text,text,S,false,null,false,false
market,competitor_room_types,5,current_price,"numeric(10,2)",numeric,N,true,null,false,false
market,competitor_room_types,6,occupancy,integer,int4,N,true,null,false,false
market,competitor_room_types,7,updated_at,timestamp with time zone,timestamptz,D,false,now(),false,false
market,localities,1,id,uuid,uuid,U,false,gen_random_uuid(),false,false
market,localities,2,name,text,text,S,false,null,false,false
market,localities,3,city,text,text,S,false,null,false,false
market,localities,4,state,text,text,S,false,'IN'::text,false,false
market,localities,5,latitude,"numeric(10,6)",numeric,N,true,null,false,false
market,localities,6,longitude,"numeric(10,6)",numeric,N,true,null,false,false
market,localities,7,created_at,timestamp with time zone,timestamptz,D,false,now(),false,false
market,locality_market_metrics,1,id,uuid,uuid,U,false,gen_random_uuid(),false,false
market,locality_market_metrics,2,organization_id,uuid,uuid,U,false,null,false,false
market,locality_market_metrics,3,locality_id,uuid,uuid,U,false,null,false,false
market,locality_market_metrics,4,room_type_label,text,text,S,false,null,false,false
market,locality_market_metrics,5,period_month,text,text,S,false,null,false,false
market,locality_market_metrics,6,price_p25,"numeric(10,2)",numeric,N,true,null,false,false
market,locality_market_metrics,7,price_median,"numeric(10,2)",numeric,N,true,null,false,false
market,locality_market_metrics,8,price_p75,"numeric(10,2)",numeric,N,true,null,false,false
market,locality_market_metrics,9,price_avg,"numeric(10,2)",numeric,N,true,null,false,false
market,locality_market_metrics,10,property_count,integer,int4,N,false,0,false,false
