table_schema,table_name,index_name,is_unique,is_partial,definition
market,scrape_sources,scrape_sources_key_key,true,false,CREATE UNIQUE INDEX scrape_sources_key_key ON market.scrape_sources USING btree (key)
market,scrape_sources,scrape_sources_pkey,true,false,CREATE UNIQUE INDEX scrape_sources_pkey ON market.scrape_sources USING btree (id)
public,accounting_migration_log,accounting_migration_log_pkey,true,false,CREATE UNIQUE INDEX accounting_migration_log_pkey ON public.accounting_migration_log USING btree (id)
public,accounting_migration_log,idx_aml_severity_time,false,false,"CREATE INDEX idx_aml_severity_time ON public.accounting_migration_log USING btree (severity, created_at DESC)"
public,accounting_periods,accounting_periods_pkey,true,false,"CREATE UNIQUE INDEX accounting_periods_pkey ON public.accounting_periods USING btree (organization_id, period)"
public,ai_actions,ai_actions_org_created,false,false,"CREATE INDEX ai_actions_org_created ON public.ai_actions USING btree (organization_id, created_at DESC)"
public,ai_actions,ai_actions_pkey,true,false,CREATE UNIQUE INDEX ai_actions_pkey ON public.ai_actions USING btree (id)
public,ai_logs,ai_logs_created_at_idx,false,false,CREATE INDEX ai_logs_created_at_idx ON public.ai_logs USING btree (created_at DESC)
public,ai_logs,ai_logs_pkey,true,false,CREATE UNIQUE INDEX ai_logs_pkey ON public.ai_logs USING btree (id)
public,ai_logs,ai_logs_request_type_idx,false,false,CREATE INDEX ai_logs_request_type_idx ON public.ai_logs USING btree (request_type)
public,ai_sessions,ai_sessions_org_user_updated,false,false,"CREATE INDEX ai_sessions_org_user_updated ON public.ai_sessions USING btree (organization_id, user_id, updated_at DESC)"
public,ai_sessions,ai_sessions_pkey,true,false,CREATE UNIQUE INDEX ai_sessions_pkey ON public.ai_sessions USING btree (id)
public,announcements,announcements_pkey,true,false,CREATE UNIQUE INDEX announcements_pkey ON public.announcements USING btree (id)
public,apartments,apartments_pkey,true,false,CREATE UNIQUE INDEX apartments_pkey ON public.apartments USING btree (id)
public,apartments,idx_apartments_org_status,false,false,"CREATE INDEX idx_apartments_org_status ON public.apartments USING btree (organization_id, status)"
public,apartments,idx_apartments_property,false,false,CREATE INDEX idx_apartments_property ON public.apartments USING btree (property_id)
public,asset_allocations,asset_allocations_pkey,true,false,CREATE UNIQUE INDEX asset_allocations_pkey ON public.asset_allocations USING btree (id)
public,asset_brands,asset_brands_name_organization_id_key,true,false,"CREATE UNIQUE INDEX asset_brands_name_organization_id_key ON public.asset_brands USING btree (name, organization_id)"
public,asset_brands,asset_brands_pkey,true,false,CREATE UNIQUE INDEX asset_brands_pkey ON public.asset_brands USING btree (id)
public,asset_categories,asset_categories_pkey,true,false,CREATE UNIQUE INDEX asset_categories_pkey ON public.asset_categories USING btree (id)
public,asset_depreciation,asset_depreciation_pkey,true,false,CREATE UNIQUE INDEX asset_depreciation_pkey ON public.asset_depreciation USING btree (id)
public,asset_depreciation,idx_asset_depreciation_org,false,false,CREATE INDEX idx_asset_depreciation_org ON public.asset_depreciation USING btree (organization_id)
public,asset_maintenance_logs,asset_maintenance_logs_pkey,true,false,CREATE UNIQUE INDEX asset_maintenance_logs_pkey ON public.asset_maintenance_logs USING btree (id)
public,asset_movements,asset_movements_pkey,true,false,CREATE UNIQUE INDEX asset_movements_pkey ON public.asset_movements USING btree (id)
public,asset_payments,asset_payments_pkey,true,false,CREATE UNIQUE INDEX asset_payments_pkey ON public.asset_payments USING btree (id)
public,asset_payments,idx_asset_payments_asset,false,false,CREATE INDEX idx_asset_payments_asset ON public.asset_payments USING btree (asset_id)
public,asset_payments,idx_asset_payments_bank,false,true,CREATE INDEX idx_asset_payments_bank ON public.asset_payments USING btree (bank_account_id) WHERE (bank_account_id IS NOT NULL)
public,asset_payments,idx_asset_payments_org,false,false,CREATE INDEX idx_asset_payments_org ON public.asset_payments USING btree (organization_id)
public,asset_payments,idx_asset_payments_payment_date,false,false,CREATE INDEX idx_asset_payments_payment_date ON public.asset_payments USING btree (payment_date)
public,asset_payments,idx_asset_payments_vendor,false,false,CREATE INDEX idx_asset_payments_vendor ON public.asset_payments USING btree (vendor_id)
