col,value,rows
eb_tenant_shares.billing_month,Apr-26,155
eb_tenant_shares.billing_month,Jul-26,167
eb_tenant_shares.billing_month,Jun-26,165
eb_tenant_shares.billing_month,Mar-26,148
eb_tenant_shares.billing_month,May-26,166
electricity_readings.billing_month,Apr-23,38
electricity_readings.billing_month,Apr-24,34
electricity_readings.billing_month,Apr-25,38
electricity_readings.billing_month,Apr-26,34
electricity_readings.billing_month,Aug-23,34
electricity_readings.billing_month,Aug-24,38
electricity_readings.billing_month,Aug-25,38
electricity_readings.billing_month,Dec-24,38
electricity_readings.billing_month,Dec-25,38
electricity_readings.billing_month,Feb-24,34
electricity_readings.billing_month,Feb-25,38
electricity_readings.billing_month,Feb-26,37
electricity_readings.billing_month,Jan-24,34
electricity_readings.billing_month,Jan-25,38
electricity_readings.billing_month,Jan-26,37
electricity_readings.billing_month,Jul-23,34
electricity_readings.billing_month,Jul-24,37
electricity_readings.billing_month,Jul-25,38
electricity_readings.billing_month,Jul-26,35
electricity_readings.billing_month,Jun-23,34
electricity_readings.billing_month,Jun-24,37
electricity_readings.billing_month,Jun-25,38
electricity_readings.billing_month,Jun-26,35
electricity_readings.billing_month,Mar-24,34
electricity_readings.billing_month,Mar-25,38
electricity_readings.billing_month,Mar-26,34
electricity_readings.billing_month,May-23,34
electricity_readings.billing_month,May-24,34
electricity_readings.billing_month,May-25,38
electricity_readings.billing_month,May-26,35
electricity_readings.billing_month,Nov-23,34
electricity_readings.billing_month,Nov-24,38
electricity_readings.billing_month,Nov-25,38
electricity_readings.billing_month,Oct-23,34
electricity_readings.billing_month,Oct-24,37
electricity_readings.billing_month,Oct-25,38
electricity_readings.billing_month,Sep-23,34
electricity_readings.billing_month,Sep-24,37
electricity_readings.billing_month,Sep-25,38
expenses.billing_month,2023-03,14
expenses.billing_month,2023-04,5
expenses.billing_month,2023-05,6
expenses.billing_month,2023-06,5
expenses.billing_month,2023-07,4
expenses.billing_month,2023-08,22
expenses.billing_month,2023-09,2
expenses.billing_month,2023-10,1
expenses.billing_month,2024-02,2
expenses.billing_month,2024-03,7
expenses.billing_month,2024-04,3
expenses.billing_month,2024-08,7
expenses.billing_month,2024-09,10
expenses.billing_month,2024-10,22
expenses.billing_month,2024-11,9
expenses.billing_month,2024-12,5
expenses.billing_month,2025-01,6
expenses.billing_month,2025-02,14
expenses.billing_month,2025-03,12
expenses.billing_month,2025-04,39
expenses.billing_month,2025-05,48
expenses.billing_month,2025-06,21
expenses.billing_month,2025-07,32
expenses.billing_month,2025-08,27
expenses.billing_month,2025-09,25
expenses.billing_month,2025-10,9
expenses.billing_month,2025-11,11
expenses.billing_month,2025-12,3
expenses.billing_month,2026-01,1
expenses.billing_month,2026-02,33
expenses.billing_month,2026-03,83
expenses.billing_month,2026-04,13
expenses.billing_month,2026-05,1
expenses.billing_month,2026-07,12
expenses.billing_month,2026-08,2
invoices.billing_month,2023-02,2
invoices.billing_month,2023-03,22
invoices.billing_month,2023-04,31
invoices.billing_month,2023-05,32
invoices.billing_month,2023-06,34
invoices.billing_month,2023-07,36
invoices.billing_month,2023-08,32
invoices.billing_month,2023-09,33
invoices.billing_month,2023-10,40
invoices.billing_month,2023-11,40
invoices.billing_month,2023-12,39
invoices.billing_month,2024-01,49
invoices.billing_month,2024-02,47
invoices.billing_month,2024-03,59
invoices.billing_month,2024-04,78
invoices.billing_month,2024-05,77
invoices.billing_month,2024-06,88
invoices.billing_month,2024-07,89
invoices.billing_month,2024-08,99
invoices.billing_month,2024-09,96
invoices.billing_month,2024-10,98
invoices.billing_month,2024-11,95
invoices.billing_month,2024-12,103
invoices.billing_month,2025-01,140
invoices.billing_month,2025-02,155
invoices.billing_month,2025-03,160
invoices.billing_month,2025-04,172
invoices.billing_month,2025-05,201
invoices.billing_month,2025-06,217
invoices.billing_month,2025-07,225
invoices.billing_month,2025-08,244
invoices.billing_month,2025-09,221
invoices.billing_month,2025-10,205
invoices.billing_month,2025-11,186
invoices.billing_month,2025-12,188
invoices.billing_month,2026-01,181
invoices.billing_month,2026-02,185
invoices.billing_month,2026-03,176
invoices.billing_month,2026-04,180
invoices.billing_month,2026-05,221
invoices.billing_month,2026-06,206
invoices.billing_month,2026-07,227
invoices.billing_month,2026-08,203
invoices.billing_month,2026-09,2
journal_entries.period,2019-11,2
journal_entries.period,2021-12,8
journal_entries.period,2022-02,4
journal_entries.period,2022-04,3
journal_entries.period,2022-08,2
journal_entries.period,2022-09,4
journal_entries.period,2022-10,3
journal_entries.period,2022-11,10
journal_entries.period,2022-12,16
journal_entries.period,2023-01,19
journal_entries.period,2023-02,27
journal_entries.period,2023-03,53
journal_entries.period,2023-04,86
journal_entries.period,2023-05,77
journal_entries.period,2023-06,82
journal_entries.period,2023-07,98
journal_entries.period,2023-08,137
journal_entries.period,2023-09,93
journal_entries.period,2023-10,102
journal_entries.period,2023-11,90
journal_entries.period,2023-12,93
journal_entries.period,2024-01,123
journal_entries.period,2024-02,111
journal_entries.period,2024-03,203
journal_entries.period,2024-04,228
journal_entries.period,2024-05,192
journal_entries.period,2024-06,211
journal_entries.period,2024-07,222
journal_entries.period,2024-08,249
journal_entries.period,2024-09,228
journal_entries.period,2024-10,266
journal_entries.period,2024-11,244
journal_entries.period,2024-12,252
journal_entries.period,2025-01,365
journal_entries.period,2025-02,386
journal_entries.period,2025-03,388
journal_entries.period,2025-04,465
journal_entries.period,2025-05,515
journal_entries.period,2025-06,581
journal_entries.period,2025-07,625
journal_entries.period,2025-08,762
journal_entries.period,2025-09,545
journal_entries.period,2025-10,504
journal_entries.period,2025-11,440
journal_entries.period,2025-12,434
journal_entries.period,2026-01,469
journal_entries.period,2026-02,524
journal_entries.period,2026-03,468
journal_entries.period,2026-04,496
journal_entries.period,2026-05,787
journal_entries.period,2026-06,617
journal_entries.period,2026-07,805
journal_entries.period,2026-08,520
journal_entries.period,2026-09,2
owner_payments.payment_month,2022-10,1
owner_payments.payment_month,2022-11,2
owner_payments.payment_month,2022-12,2
owner_payments.payment_month,2023-01,2
owner_payments.payment_month,2023-02,2
owner_payments.payment_month,2023-03,2
owner_payments.payment_month,2023-04,4
owner_payments.payment_month,2023-05,4
owner_payments.payment_month,2023-06,4
owner_payments.payment_month,2023-07,4
owner_payments.payment_month,2023-08,4
owner_payments.payment_month,2023-09,4
owner_payments.payment_month,2023-10,5
owner_payments.payment_month,2023-11,5
owner_payments.payment_month,2023-12,5
owner_payments.payment_month,2024-01,5
owner_payments.payment_month,2024-02,5
owner_payments.payment_month,2024-03,5
owner_payments.payment_month,2024-04,5
owner_payments.payment_month,2024-05,5
owner_payments.payment_month,2024-06,5
owner_payments.payment_month,2024-07,5
owner_payments.payment_month,2024-08,6
owner_payments.payment_month,2024-09,8
owner_payments.payment_month,2024-10,9
owner_payments.payment_month,2024-11,9
owner_payments.payment_month,2024-12,9
owner_payments.payment_month,2025-01,9
owner_payments.payment_month,2025-02,9
owner_payments.payment_month,2025-03,9
owner_payments.payment_month,2025-04,9
owner_payments.payment_month,2025-05,9
owner_payments.payment_month,2025-06,9
owner_payments.payment_month,2025-07,9
owner_payments.payment_month,2025-08,13
owner_payments.payment_month,2025-09,13
owner_payments.payment_month,2025-10,13
owner_payments.payment_month,2025-11,13
owner_payments.payment_month,2025-12,13
owner_payments.payment_month,2026-01,13
owner_payments.payment_month,2026-02,13
owner_payments.payment_month,2026-03,13
owner_payments.payment_month,2026-04,13
owner_payments.payment_month,2026-05,13
owner_payments.payment_month,2026-06,13
owner_payments.payment_month,2026-07,13
team_salary_bills.month,2026-02,6
team_salary_bills.month,2026-03,14
team_salary_bills.month,2026-04,11
team_salary_bills.month,2026-05,11
team_salary_bills.month,2026-06,12
team_salary_bills.month,2026-07,12
team_salary_bills.month,2026-08,5
