table_schema,table_name,column_name,data_type,total_rows,non_null_rows,min_value,max_value,distinct_days,distinct_months,rows_before_2019,rows_after_today
public,bed_rates,to_date,date,24,24,2024-01-31,2026-12-31,4,4,0,6
public,bed_status_history,created_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,bed_status_history,from_date,date,0,0,null,null,0,0,0,0
public,bed_status_history,to_date,date,0,0,null,null,0,0,0,0
public,bed_type_config,created_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,beds,created_at,timestamp with time zone,203,203,2026-03-16 17:47:56.452874+00,2026-07-29 09:49:44.372876+00,8,4,0,0
public,bot_conversations,updated_at,timestamp with time zone,9,9,2026-07-08 11:26:07.013233+00,2026-07-09 08:27:05.642988+00,2,1,0,0
public,coa_accounts,created_at,timestamp with time zone,57,57,2026-04-25 10:03:17.881395+00,2026-05-09 03:32:17.410825+00,3,2,0,0
public,companies,created_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,cost_estimate_approvers,created_at,timestamp with time zone,1,1,2026-03-27 11:49:30.217217+00,2026-03-27 11:49:30.217217+00,1,1,0,0
public,departments,created_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,deposit_settlements,created_at,timestamp with time zone,307,307,2026-04-06 13:04:32.758064+00,2026-08-28 11:11:38.25454+00,56,5,0,0
public,deposit_settlements,settlement_date,date,307,307,2023-04-03,2026-09-20,184,35,0,2
public,diagnostic_sessions,completed_at,timestamp with time zone,479,479,2026-04-09 11:31:27.923+00,2026-08-24 11:31:09.479+00,82,5,0,0
public,diagnostic_sessions,created_at,timestamp with time zone,479,479,2026-04-09 11:31:29.132565+00,2026-08-24 11:31:10.241986+00,81,5,0,0
public,eb_monitoring_readings,created_at,timestamp with time zone,35,35,2026-06-28 12:10:44.840278+00,2026-06-28 12:10:44.840278+00,1,1,0,0
public,eb_monitoring_readings,reading_date,date,35,35,2026-08-18,2026-08-18,1,1,0,0
public,eb_payments,bill_date,date,70,70,2026-04-29,2026-06-27,2,2,0,0
public,eb_payments,billing_period_end,date,70,70,2026-04-12,2026-06-16,2,2,0,0
public,eb_payments,billing_period_start,date,70,70,2026-02-07,2026-04-12,2,2,0,0
public,eb_payments,created_at,timestamp with time zone,70,70,2026-06-12 03:27:05.826942+00,2026-07-02 09:10:25.453897+00,2,2,0,0
public,eb_payments,payment_date,date,70,70,2026-05-05,2026-07-02,2,2,0,0
public,eb_rates,created_at,timestamp with time zone,2,2,2026-03-17 06:58:50.705725+00,2026-03-18 09:27:58.23605+00,2,1,0,0
public,eb_rates,from_date,date,2,2,2021-01-01,2024-07-01,2,2,0,0
public,eb_rates,to_date,date,2,1,2024-06-30,2024-06-30,1,1,0,0
public,eb_tenant_shares,created_at,timestamp with time zone,801,801,2026-04-07 07:48:35.486464+00,2026-08-08 08:13:03.945825+00,10,5,0,0
public,electricity_readings,created_at,timestamp with time zone,1411,1411,2026-03-20 06:10:21.371689+00,2026-07-31 07:49:57.346442+00,8,5,0,0
public,electricity_shares,created_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,email_templates,created_at,timestamp with time zone,4,4,2026-04-21 08:27:54.335104+00,2026-04-21 14:10:29.131713+00,1,1,0,0
public,email_templates,updated_at,timestamp with time zone,4,4,2026-04-21 08:27:54.335104+00,2026-04-22 06:24:46.707634+00,2,1,0,0
public,employee_specialties,created_at,timestamp with time zone,10,10,2026-03-30 12:45:39.100333+00,2026-08-12 05:51:56.141662+00,3,3,0,0
public,employees,created_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,employees_sync,created_at,timestamp with time zone,23,23,2026-05-09 07:22:53.226874+00,2026-08-07 05:24:40.830595+00,5,3,0,0
public,employees_sync,synced_at,timestamp with time zone,23,23,2026-07-08 00:16:15.432+00,2026-08-29 06:16:15.483+00,4,2,0,18
public,enquiries,created_at,timestamp with time zone,18,18,2026-07-02 12:39:11.113526+00,2026-07-09 07:41:53.69523+00,5,1,0,0
public,enquiries,move_in_date,date,18,1,2024-01-01,2024-01-01,1,1,0,0
public,enquiries,updated_at,timestamp with time zone,18,18,2026-07-02 12:42:13.493877+00,2026-07-09 08:27:05.965929+00,5,1,0,0
public,exit_tasks,assigned_at,timestamp with time zone,3,3,2026-04-16 10:57:56.27184+00,2026-08-10 12:04:37.704413+00,3,2,0,0
public,exit_tasks,completed_at,timestamp with time zone,3,0,null,null,0,0,0,0
public,exit_tasks,created_at,timestamp with time zone,3,3,2026-04-16 10:57:56.27184+00,2026-08-10 12:04:37.704413+00,3,2,0,0
public,exit_tasks,exit_date,date,3,3,2026-04-16,2026-08-08,3,2,0,0
public,exit_tasks,tenant_approved_at,timestamp with time zone,3,0,null,null,0,0,0,0
public,expense_bed_allocations,created_at,timestamp with time zone,448,448,2026-04-11 00:09:03.571139+00,2026-04-11 00:09:03.571139+00,1,1,0,0
public,expense_categories,created_at,timestamp with time zone,9,9,2026-04-11 00:52:15.45091+00,2026-05-20 06:42:20.317078+00,2,2,0,0
public,expense_subcategories,created_at,timestamp with time zone,10,10,2026-04-08 14:53:41.090772+00,2026-04-08 14:53:41.090772+00,1,1,0,0
public,expenses,created_at,timestamp with time zone,516,516,2026-04-11 00:08:55.107554+00,2026-08-24 10:06:17.305383+00,14,4,0,0
public,expenses,expense_date,date,516,516,2023-03-11,2026-08-24,133,35,0,0
public,financial_audit_log,created_at,timestamp with time zone,23132,23132,2026-04-26 14:00:49.983879+00,2026-08-29 04:29:03.478242+00,108,5,0,2
public,gst_monthly_workings,generated_at,timestamp with time zone,5,5,2026-04-17 11:02:38.253+00,2026-08-13 10:05:53.442+00,5,5,0,0
public,gst_monthly_workings,last_updated_at,timestamp with time zone,5,5,2026-04-17 11:02:38.253+00,2026-08-13 10:05:53.442+00,5,5,0,0
public,invoice_line_items,created_at,timestamp with time zone,5536,5536,2026-03-28 14:18:49.320492+00,2026-08-28 11:11:37.129938+00,65,6,0,0
public,invoice_pdf_configs,created_at,timestamp with time zone,2,2,2026-05-13 11:10:27.545366+00,2026-05-14 09:04:30.408061+00,2,1,0,0
public,invoice_pdf_configs,updated_at,timestamp with time zone,2,2,2026-05-15 07:01:52.205+00,2026-06-02 06:31:04.282+00,2,2,0,0
public,invoices,created_at,timestamp with time zone,5214,5214,2026-03-28 14:18:45.293194+00,2026-08-29 04:29:03.046662+00,83,6,0,1
public,invoices,due_date,date,5214,5214,2023-02-09,2026-09-20,379,44,0,3
public,invoices,invoice_date,date,5214,5214,2023-02-05,2026-09-20,357,44,0,3
public,issue_sub_types,created_at,timestamp with time zone,51,51,2026-03-18 07:58:58.536997+00,2026-04-18 18:06:01.468744+00,2,2,0,0
public,issue_type_asset_types,created_at,timestamp with time zone,33,33,2026-04-18 13:51:33.164009+00,2026-04-18 18:11:20.825522+00,1,1,0,0
public,issue_type_expense_mapping,created_at,timestamp with time zone,14,14,2026-04-25 11:28:03.615886+00,2026-04-25 11:28:03.615886+00,1,1,0,0
public,issue_types,created_at,timestamp with time zone,14,14,2026-03-16 17:36:58.873783+00,2026-04-08 17:39:27.806614+00,3,2,0,0
public,journal_entries,entry_date,date,14236,14236,2019-11-03,2026-09-20,968,54,0,3
public,journal_entries,posted_at,timestamp with time zone,14236,14236,2026-04-25 11:21:14.487161+00,2026-08-29 04:29:03.478242+00,106,5,0,2
public,leave_requests_sync,created_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,leave_requests_sync,end_date,date,0,0,null,null,0,0,0,0
public,leave_requests_sync,start_date,date,0,0,null,null,0,0,0,0
public,leave_requests_sync,synced_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,ledger_entries,created_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,ledger_entries,entry_date,date,0,0,null,null,0,0,0,0
public,lifecycle_config,created_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,lifecycle_config,from_date,date,0,0,null,null,0,0,0,0
public,lifecycle_config,to_date,date,0,0,null,null,0,0,0,0
