table_schema,table_name,column_name,data_type,total_rows,non_null_rows,min_value,max_value,distinct_days,distinct_months,rows_before_2019,rows_after_today
public,tenant_transactions,date,date,16451,16451,0206-03-27,2026-05-05,1046,65,1,0
public,tenants,created_at,timestamp with time zone,1027,1009,2025-05-05 04:45:36+00,2026-08-27 16:14:35.84275+00,70,7,0,0
public,tenants,date_of_birth,date,1027,466,1959-05-14,2026-06-13,441,218,451,0
public,tenants,date_of_joining,date,1027,92,2023-06-14,2026-09-02,63,15,0,2
public,tenants,rating_last_computed,timestamp with time zone,1027,1015,2026-08-03 09:34:01.819+00,2026-08-11 07:35:40.112+00,2,1,0,0
public,ticket_assignment_rules,created_at,timestamp with time zone,7,7,2026-03-20 12:03:08.410054+00,2026-03-20 12:03:52.962273+00,1,1,0,0
public,ticket_cost_estimates,approved_at,timestamp with time zone,28,20,2026-04-30 09:10:50.632+00,2026-07-17 07:34:45.998+00,7,4,0,0
public,ticket_cost_estimates,created_at,timestamp with time zone,28,28,2026-04-16 11:05:05.963859+00,2026-07-17 07:34:44.798018+00,10,4,0,0
public,ticket_cost_estimates,updated_at,timestamp with time zone,28,28,2026-04-16 11:05:05.963859+00,2026-07-17 07:34:45.343188+00,11,4,0,0
public,ticket_cost_estimates_dedupe_backup_20260715,approved_at,timestamp with time zone,12,8,2026-04-30 09:10:50.632+00,2026-06-25 12:02:27.809+00,2,2,0,0
public,ticket_cost_estimates_dedupe_backup_20260715,created_at,timestamp with time zone,12,12,2026-04-30 08:37:13.03588+00,2026-06-25 12:02:26.46767+00,2,2,0,0
public,ticket_cost_estimates_dedupe_backup_20260715,updated_at,timestamp with time zone,12,12,2026-04-30 09:10:50.785351+00,2026-06-25 12:02:28.513474+00,2,2,0,0
public,ticket_logs,created_at,timestamp with time zone,8239,8239,2026-03-31 14:41:05.467561+00,2026-08-29 07:52:49.168037+00,148,6,0,9
public,ticket_number_counters,updated_at,timestamp with time zone,5,5,2026-04-30 18:31:44.465643+00,2026-08-29 07:06:45.762796+00,5,5,0,1
public,ticket_purchases,created_at,timestamp with time zone,4,4,2026-04-30 09:05:56.779573+00,2026-06-25 11:58:42.230141+00,4,3,0,0
public,ticket_purchases,purchase_date,date,4,4,2026-04-30,2026-06-25,4,3,0,0
public,ticket_purchases,updated_at,timestamp without time zone,4,4,2026-04-30 09:05:56.779573,2026-06-25 11:58:42.230141,4,3,0,0
public,ticket_resolutions,created_at,timestamp with time zone,466,466,2026-04-17 10:42:21.591228+00,2026-08-24 11:31:24.843346+00,74,5,0,0
public,ticket_resolutions,payment_date,date,466,18,2026-04-23,2026-08-24,12,4,0,0
public,ticket_resolutions,resolved_at,timestamp with time zone,466,466,2026-04-17 10:42:21.591228+00,2026-08-24 11:31:24.843346+00,74,5,0,0
public,ticket_resolutions,updated_at,timestamp with time zone,466,466,2026-04-28 08:59:46.424551+00,2026-08-27 10:50:40.61188+00,71,5,0,0
public,tickets,created_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,tickets,sla_deadline,timestamp with time zone,0,0,null,null,0,0,0,0
public,tickets,updated_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,upi_tenant_mappings,created_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,upi_tenant_mappings,last_seen_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,users,created_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,users,email_verified_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,users,last_login_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,users,password_set_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,users,phone_verified_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,vendor_remarks,created_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,vendors,created_at,timestamp with time zone,40,40,2026-03-17 17:30:54.62693+00,2026-04-11 00:05:03.700349+00,4,2,0,0
public,whatsapp_conversations,created_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,whatsapp_conversations,expires_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,whatsapp_conversations,updated_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,whatsapp_dedup,created_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,whatsapp_events,created_at,timestamp with time zone,1943,1943,2026-05-16 12:48:53.123158+00,2026-08-29 07:48:19.136623+00,80,4,0,1
public,whatsapp_events,processed_at,timestamp with time zone,1943,6,2026-05-29 12:44:13.374+00,2026-06-10 06:57:35.499+00,3,2,0,0
public,whatsapp_events,updated_at,timestamp with time zone,1943,1943,2026-05-16 12:48:53.123158+00,2026-08-29 07:48:19.136623+00,80,4,0,1
public,whatsapp_failures,created_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,whatsapp_failures,next_retry_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,whatsapp_failures,updated_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,whatsapp_payment_submissions,created_at,timestamp with time zone,387,387,2026-06-01 06:33:24.622922+00,2026-08-27 12:39:11.91549+00,46,3,0,0
public,whatsapp_payment_submissions,ocr_payment_date,date,387,129,2023-07-02,2026-08-16,33,5,0,0
public,whatsapp_payment_submissions,updated_at,timestamp with time zone,387,387,2026-06-01 08:45:18.798248+00,2026-08-27 12:39:11.91549+00,46,3,0,0
public,whatsapp_payment_submissions,verified_at,timestamp with time zone,387,387,2026-06-01 08:45:17.618+00,2026-08-27 12:39:12.522+00,43,3,0,0
public,whatsapp_send_deliveries,created_at,timestamp with time zone,2422,2422,2026-05-31 12:36:49.879283+00,2026-08-17 05:47:25.97564+00,47,4,0,0
public,whatsapp_send_deliveries,sent_at,timestamp with time zone,2422,2231,2026-05-31 12:36:54.46+00,2026-08-17 05:47:30.26+00,45,4,0,0
public,whatsapp_send_jobs,created_at,timestamp with time zone,395,395,2026-05-31 12:35:16.159818+00,2026-08-17 05:47:23.099726+00,47,4,0,0
public,whatsapp_send_jobs,dismissed_at,timestamp with time zone,395,53,2026-06-08 11:54:00.86+00,2026-08-05 10:02:20.082+00,7,3,0,0
public,whatsapp_send_jobs,updated_at,timestamp with time zone,395,395,2026-05-31 12:35:25.19685+00,2026-08-17 05:47:30.880943+00,45,4,0,0
