id,organization_id,config_type,logo_url,accent_color,header_bg_color,cin_number,tax_label,bank_name,qr_code_url,signatory_title,number_prefix,created_at,updated_at,layout_style,body_text_color,muted_text_color,header_text_color,style_options
65091ac0-02da-4ad0-84cb-53f177d90606,00000000-0000-0000-0000-000000000001,invoice,null,#d6d6d6,#ebebeb,null,GST,null,null,Vishful Management,INV,2026-05-13 11:10:27.545366+00,2026-05-15 07:01:52.205+00,classic,null,null,#450e59,"{""fonts"":{""header_brand"":""16px""}}"
9f619156-3207-4a05-b11e-7a90127aa8de,00000000-0000-0000-0000-000000000001,receipt,null,#6a2c91,#ebebeb,null,GST : 33ABEPP2922P1ZF,null,null,null,INV,2026-05-14 09:04:30.408061+00,2026-06-02 06:31:04.282+00,null,null,null,#2c1376,"{""fonts"":{""table"":""15"",""footer"":""12"",""footer_lead"":""15"",""header_meta"":""13"",""table_label"":""15"",""table_value"":""15"",""header_brand"":""28"",""header_small"":""14"",""received_name"":""20"",""section_label"":""15"",""signatory_name"":""15"",""received_detail"":""11"",""signatory_title"":""13""}}"
